  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.19683 |  1.04317 | -0.00035
 2500.819 |  1.19683 |  1.04283 | -0.00034
 2501.637 |  1.19683 |  1.04292 | -0.00035
 2502.456 |  1.19683 |  1.04288 | -0.00036
 2503.275 |  1.19683 |  1.04309 | -0.00034
 2504.094 |  1.19683 |  1.04275 | -0.00036
 2504.912 |  1.19683 |  1.04277 | -0.00036
 2505.731 |  1.19683 |  1.04233 | -0.00036
 2506.550 |  1.19683 |  1.04279 | -0.00036
 2507.368 |  1.19683 |  1.04241 | -0.00035
 2508.187 |  1.19683 |  1.04267 | -0.00035
 2509.006 |  1.19683 |  1.04248 | -0.00036
 2509.825 |  1.19683 |  1.04252 | -0.00034
 2510.643 |  1.19683 |  1.04239 | -0.00035
 2511.462 |  1.19683 |  1.04252 | -0.00036
 2512.281 |  1.19683 |  1.04214 | -0.00035
 2513.099 |  1.19683 |  1.04183 | -0.00036
 2513.918 |  1.19683 |  1.04181 | -0.00035
 2514.737 |  1.19683 |  1.04209 | -0.00035
 2515.556 |  1.19683 |  1.04217 | -0.00036
 2516.374 |  1.19207 |  1.04158 | -0.00036
 2517.193 |  1.19349 |  1.04164 | -0.00036
 2518.012 |  1.19359 |  1.04197 | -0.00036
 2518.830 |  1.19544 |  1.04169 | -0.00036
 2519.649 |  1.19688 |  1.04179 | -0.00036
 2520.468 |  1.19688 |  1.04176 | -0.00035
 2521.287 |  1.19732 |  1.04183 | -0.00035
 2522.105 |  1.19812 |  1.04220 | -0.00036
 2522.924 |  1.19857 |  1.04204 | -0.00035
 2523.743 |  1.19800 |  1.04201 | -0.00035
 2524.561 |  1.19729 |  1.04214 | -0.00036
 2525.380 |  1.19693 |  1.04189 | -0.00036
 2526.199 |  1.19647 |  1.04200 | -0.00034
 2527.018 |  1.19636 |  1.04199 | -0.00035
 2527.836 |  1.19656 |  1.04176 | -0.00036
 2528.655 |  1.19682 |  1.04197 | -0.00036
 2529.474 |  1.19610 |  1.04183 | -0.00035
 2530.292 |  1.19623 |  1.04157 | -0.00036
 2531.111 |  1.19588 |  1.04162 | -0.00036
 2531.930 |  1.19525 |  1.04137 | -0.00035
 2532.749 |  1.19541 |  1.04168 | -0.00035
 2533.567 |  1.19443 |  1.04178 | -0.00036
 2534.386 |  1.19378 |  1.04167 | -0.00036
 2535.205 |  1.19291 |  1.04168 | -0.00035
 2536.023 |  1.19188 |  1.04152 | -0.00035
 2536.842 |  1.19161 |  1.04235 | -0.00036
 2537.661 |  1.19027 |  1.04203 | -0.00035
 2538.480 |  1.18988 |  1.04175 | -0.00035
 2539.298 |  1.18943 |  1.04180 | -0.00034
 2540.117 |  1.18946 |  1.04200 | -0.00035
 2540.936 |  1.18921 |  1.04175 | -0.00035
 2541.754 |  1.18870 |  1.04176 | -0.00034
 2542.573 |  1.18892 |  1.04204 | -0.00036
 2543.392 |  1.18879 |  1.04205 | -0.00036
 2544.211 |  1.18850 |  1.04188 | -0.00035
 2545.029 |  1.18841 |  1.04183 | -0.00035
 2545.848 |  1.18818 |  1.04172 | -0.00036
 2546.667 |  1.18767 |  1.04159 | -0.00036
 2547.485 |  1.18784 |  1.04128 | -0.00035
 2548.304 |  1.18704 |  1.04181 | -0.00035
 2549.123 |  1.18671 |  1.04163 | -0.00035
 2549.942 |  1.18663 |  1.04168 | -0.00035
 2550.760 |  1.18623 |  1.04205 | -0.00035
 2551.579 |  1.18641 |  1.04219 | -0.00036
 2552.398 |  1.18586 |  1.04180 | -0.00035
 2553.216 |  1.18546 |  1.04199 | -0.00035
 2554.035 |  1.18514 |  1.04206 | -0.00036
 2554.854 |  1.18464 |  1.04176 | -0.00036
 2555.673 |  1.18459 |  1.04190 | -0.00035
 2556.491 |  1.18402 |  1.04152 | -0.00035
 2557.310 |  1.18422 |  1.04174 | -0.00036
 2558.129 |  1.18380 |  1.04158 | -0.00036
 2558.947 |  1.18368 |  1.04161 | -0.00036
 2559.766 |  1.18349 |  1.04203 | -0.00036
 2560.585 |  1.18284 |  1.04195 | -0.00035
 2561.404 |  1.18287 |  1.04154 | -0.00036
 2562.222 |  1.18291 |  1.04163 | -0.00036
 2563.041 |  1.18255 |  1.04147 | -0.00036
 2563.860 |  1.18271 |  1.04215 | -0.00035
