/	90	        100	        105	        110
5	3.175	    4.5	        17.25	    11.7
10	3.565217391	8.230769231	19.25	    16.33333333
15	3.684210526	7.647058824	13.08333333	12.83333333
20	3.321428571	6.086956522	8.502673797	8.722222222
25	2.75	    4.6875	    5.818181818	6.4
