	200	400	600	800	1000	1500	2500	3500	5000	7500	9000
1	160	322.5	430	434	651	653	325.5	663	221	699	699
5	71.77777778	92.42857143	129.2	217	130.4	81.625	163	221	133.6	232.6666667	234
10	54	92.42857143	92.71428571	81.5	72.44444444	36.27777778	65.5	94.42857143	74.33333333	116	88
20	21.63333333	43.26666667	38.29411765	43.53333333	43.6	26.12	32.85	34.73684211	27.95833333	43.375	39.11111111
30	10.83333333	21.63333333	21.7	21.76666667	26.16	163.25	21.9	24.2962963	23.17241379	23.51724138	27.11538462
