	200	400	600	800	1000	1500	2500	3500	5000	7500	9000	10000
1	640	645	645	651	651	653	651	663	663	699	699	690
5	646	647	646	651	652	653	652	663	668	698	702	695
10	648	647	649	652	652	653	655	661	669	696	704	700
20	649	649	651	653	654	653	657	660	671	694	704	703
30	650	649	651	653	654	653	657	656	672	682	705	701
