0.0024	69	1
0.0035	75	1
0.0044	78	1
0.0094	79	1
0.0112	82	1
0.015	82	1
0.018	85	1
0.023	80	1
0.025	81	1
0.027	82	1
0.032	83	1
0.036	84	1
0.043	85	1
0.047	86	1
0.05	87	1
0.057	87.5	1
0.061	89	1
0.066	90	1
0.074	91	1
0.086	90	1
0.093	93	1
0.105	94	1
0.117	94	1
0.132	95	1
0.148	96	1
0.16	98	1
0.181	99	1
0.205	102	1
0.248	107	1
0.306	108	1
0.384	111	1
0.417	110	1
0.468	113	1
0.494	115	1
0.574	116	1
0.636	117	1
0.717	119	1
0.797	120	1
0.868	121	1
0.923	115	1
1	118	1
1.2	120	1
1.4	121	1
1.7	118	1
1.8	120	1
2.8	117	1
3.6	118	1
4.7	119	1
5.4	117	1
5.8	119	1
6.8	119	1
7.4	119	1
8.4	120	1
9.4	120	1
10	120	1
