  freq    |   fit    
----------+----------
 2500.000 | -0.00068
 2500.815 | -0.00068
 2501.630 | -0.00068
 2502.445 | -0.00069
 2503.260 | -0.00069
 2504.075 | -0.00070
 2504.889 | -0.00070
 2505.704 | -0.00070
 2506.519 | -0.00071
 2507.334 | -0.00071
 2508.149 | -0.00072
 2508.964 | -0.00072
 2509.779 | -0.00073
 2510.594 | -0.00073
 2511.409 | -0.00073
 2512.224 | -0.00074
 2513.038 | -0.00074
 2513.853 | -0.00075
 2514.668 | -0.00075
 2515.483 | -0.00076
 2516.298 | -0.00076
 2517.113 | -0.00077
 2517.928 | -0.00077
 2518.743 | -0.00078
 2519.558 | -0.00078
 2520.373 | -0.00079
 2521.187 | -0.00079
 2522.002 | -0.00080
 2522.817 | -0.00080
 2523.632 | -0.00081
 2524.447 | -0.00081
 2525.262 | -0.00082
 2526.077 | -0.00082
 2526.892 | -0.00083
 2527.707 | -0.00083
 2528.522 | -0.00084
 2529.336 | -0.00084
 2530.151 | -0.00085
 2530.966 | -0.00085
 2531.781 | -0.00086
 2532.596 | -0.00086
 2533.411 | -0.00087
 2534.226 | -0.00088
 2535.041 | -0.00088
 2535.856 | -0.00089
 2536.671 | -0.00089
 2537.485 | -0.00090
 2538.300 | -0.00091
 2539.115 | -0.00091
 2539.930 | -0.00092
 2540.745 | -0.00092
 2541.560 | -0.00093
 2542.375 | -0.00094
 2543.190 | -0.00094
 2544.005 | -0.00095
 2544.820 | -0.00096
 2545.634 | -0.00096
 2546.449 | -0.00097
 2547.264 | -0.00098
 2548.079 | -0.00098
 2548.894 | -0.00099
 2549.709 | -0.00100
 2550.524 | -0.00100
 2551.339 | -0.00101
 2552.154 | -0.00102
 2552.969 | -0.00103
 2553.783 | -0.00103
 2554.598 | -0.00104
 2555.413 | -0.00105
 2556.228 | -0.00106
 2557.043 | -0.00107
 2557.858 | -0.00107
 2558.673 | -0.00108
 2559.488 | -0.00109
 2560.303 | -0.00110
 2561.118 | -0.00111
 2561.932 | -0.00111
 2562.747 | -0.00112
 2563.562 | -0.00113
 2564.377 | -0.00114
 2565.192 | -0.00115
 2566.007 | -0.00116
 2566.822 | -0.00117
 2567.637 | -0.00118
 2568.452 | -0.00119
 2569.267 | -0.00119
 2570.081 | -0.00120
 2570.896 | -0.00121
 2571.711 | -0.00122
 2572.526 | -0.00123
 2573.341 | -0.00124
 2574.156 | -0.00125
 2574.971 | -0.00126
 2575.786 | -0.00127
 2576.601 | -0.00129
