  freq    |   fit    
----------+----------
 2500.000 | -0.00137
 2500.817 | -0.00138
 2501.634 | -0.00140
 2502.450 | -0.00141
 2503.267 | -0.00142
 2504.084 | -0.00144
 2504.901 | -0.00145
 2505.718 | -0.00147
 2506.534 | -0.00148
 2507.351 | -0.00150
 2508.168 | -0.00151
 2508.985 | -0.00153
 2509.802 | -0.00154
 2510.618 | -0.00156
 2511.435 | -0.00157
 2512.252 | -0.00159
 2513.069 | -0.00161
 2513.886 | -0.00162
 2514.702 | -0.00164
 2515.519 | -0.00166
 2516.336 | -0.00167
 2517.153 | -0.00169
 2517.970 | -0.00171
 2518.786 | -0.00173
 2519.603 | -0.00175
 2520.420 | -0.00177
 2521.237 | -0.00179
 2522.054 | -0.00181
 2522.870 | -0.00183
 2523.687 | -0.00185
 2524.504 | -0.00187
 2525.321 | -0.00189
 2526.138 | -0.00191
 2526.954 | -0.00194
 2527.771 | -0.00196
 2528.588 | -0.00198
 2529.405 | -0.00201
 2530.222 | -0.00203
 2531.039 | -0.00206
 2531.855 | -0.00208
 2532.672 | -0.00211
 2533.489 | -0.00213
 2534.306 | -0.00216
 2535.123 | -0.00219
 2535.939 | -0.00221
 2536.756 | -0.00224
 2537.573 | -0.00227
 2538.390 | -0.00230
 2539.207 | -0.00233
 2540.023 | -0.00236
 2540.840 | -0.00239
 2541.657 | -0.00243
 2542.474 | -0.00246
 2543.291 | -0.00249
 2544.107 | -0.00253
 2544.924 | -0.00256
 2545.741 | -0.00260
 2546.558 | -0.00264
 2547.375 | -0.00267
 2548.191 | -0.00271
 2549.008 | -0.00275
 2549.825 | -0.00279
 2550.642 | -0.00284
 2551.459 | -0.00288
 2552.275 | -0.00292
 2553.092 | -0.00297
 2553.909 | -0.00301
 2554.726 | -0.00306
 2555.543 | -0.00311
 2556.359 | -0.00316
 2557.176 | -0.00321
 2557.993 | -0.00327
 2558.810 | -0.00332
 2559.627 | -0.00338
 2560.443 | -0.00343
 2561.260 | -0.00349
 2562.077 | -0.00356
 2562.894 | -0.00362
 2563.711 | -0.00368
 2564.527 | -0.00375
 2565.344 | -0.00382
 2566.161 | -0.00389
 2566.978 | -0.00397
 2567.795 | -0.00405
 2568.611 | -0.00413
 2569.428 | -0.00421
 2570.245 | -0.00430
 2571.062 | -0.00439
 2571.879 | -0.00448
 2572.695 | -0.00458
 2573.512 | -0.00468
 2574.329 | -0.00478
 2575.146 | -0.00489
 2575.963 | -0.00501
 2576.779 | -0.00513
 2577.596 | -0.00526
 2578.413 | -0.00539
 2579.230 | -0.00553
 2580.047 | -0.00568
 2580.863 | -0.00584
 2581.680 | -0.00600
 2582.497 | -0.00618
 2583.314 | -0.00637
 2584.131 | -0.00657
 2584.947 | -0.00679
 2585.764 | -0.00703
 2586.581 | -0.00728
 2587.398 | -0.00756
 2588.215 | -0.00787
 2589.032 | -0.00820
 2589.848 | -0.00857
 2590.665 | -0.00898
 2591.482 | -0.00945
 2592.299 | -0.00997
 2593.116 | -0.01057
 2593.932 | -0.01125
 2594.749 | -0.01204
 2595.566 | -0.01297
 2596.383 | -0.01405
 2597.200 | -0.01533
 2598.016 | -0.01684
 2598.833 | -0.01861
 2599.650 | -0.02066
 2600.467 | -0.02297
 2601.284 | -0.02543
 2602.100 | -0.02781
 2602.917 | -0.02978
 2603.734 | -0.03094
 2604.551 | -0.03106
 2605.368 | -0.03018
 2606.184 | -0.02859
 2607.001 | -0.02667
 2607.818 | -0.02476
 2608.635 | -0.02304
 2609.452 | -0.02159
 2610.268 | -0.02043
 2611.085 | -0.01954
 2611.902 | -0.01888
 2612.719 | -0.01842
 2613.536 | -0.01813
 2614.352 | -0.01797
 2615.169 | -0.01794
 2615.986 | -0.01802
 2616.803 | -0.01818
 2617.620 | -0.01843
 2618.436 | -0.01875
 2619.253 | -0.01914
 2620.070 | -0.01960
 2620.887 | -0.02013
 2621.704 | -0.02072
 2622.520 | -0.02138
 2623.337 | -0.02210
 2624.154 | -0.02289
 2624.971 | -0.02375
 2625.788 | -0.02469
 2626.604 | -0.02571
 2627.421 | -0.02682
 2628.238 | -0.02802
 2629.055 | -0.02932
 2629.872 | -0.03073
 2630.688 | -0.03226
 2631.505 | -0.03393
 2632.322 | -0.03574
 2633.139 | -0.03771
 2633.956 | -0.03987
 2634.772 | -0.04222
 2635.589 | -0.04480
 2636.406 | -0.04763
 2637.223 | -0.05074
 2638.040 | -0.05418
 2638.856 | -0.05798
 2639.673 | -0.06220
 2640.490 | -0.06689
 2641.307 | -0.07213
 2642.124 | -0.07800
 2642.940 | -0.08460
 2643.757 | -0.09205
 2644.574 | -0.10049
 2645.391 | -0.11009
 2646.208 | -0.12106
 2647.025 | -0.13364
 2647.841 | -0.14813
 2648.658 | -0.16491
 2649.475 | -0.18440
 2650.292 | -0.20712
 2651.109 | -0.23366
 2651.925 | -0.26467
 2652.742 | -0.30094
 2653.559 | -0.34314
 2654.376 | -0.39175
 2655.193 | -0.44683
 2656.009 | -0.50741
 2656.826 | -0.57128
 2657.643 | -0.63397
 2658.460 | -0.68889
 2659.277 | -0.72823
 2660.093 | -0.74506
 2660.910 | -0.73613
 2661.727 | -0.70317
 2662.544 | -0.65225
 2663.361 | -0.59120
 2664.177 | -0.52721
 2664.994 | -0.46523
 2665.811 | -0.40829
 2666.628 | -0.35766
 2667.445 | -0.31353
 2668.261 | -0.27555
 2669.078 | -0.24297
 2669.895 | -0.21512
 2670.712 | -0.19130
 2671.529 | -0.17089
 2672.345 | -0.15335
 2673.162 | -0.13820
 2673.979 | -0.12507
 2674.796 | -0.11365
 2675.613 | -0.10366
 2676.429 | -0.09491
 2677.246 | -0.08719
 2678.063 | -0.08036
 2678.880 | -0.07429
 2679.697 | -0.06888
 2680.513 | -0.06405
 2681.330 | -0.05971
 2682.147 | -0.05580
 2682.964 | -0.05227
 2683.781 | -0.04908
 2684.597 | -0.04619
 2685.414 | -0.04355
 2686.231 | -0.04115
 2687.048 | -0.03895
 2687.865 | -0.03694
 2688.681 | -0.03510
 2689.498 | -0.03341
 2690.315 | -0.03185
 2691.132 | -0.03042
 2691.949 | -0.02909
 2692.765 | -0.02787
 2693.582 | -0.02675
 2694.399 | -0.02570
 2695.216 | -0.02474
 2696.033 | -0.02385
 2696.849 | -0.02303
 2697.666 | -0.02227
 2698.483 | -0.02157
 2699.300 | -0.02093
 2700.117 | -0.02034
 2700.933 | -0.01980
 2701.750 | -0.01931
 2702.567 | -0.01886
 2703.384 | -0.01846
 2704.201 | -0.01810
 2705.018 | -0.01779
 2705.834 | -0.01752
 2706.651 | -0.01729
 2707.468 | -0.01711
 2708.285 | -0.01697
 2709.102 | -0.01688
 2709.918 | -0.01684
 2710.735 | -0.01685
 2711.552 | -0.01691
 2712.369 | -0.01704
 2713.186 | -0.01723
 2714.002 | -0.01750
 2714.819 | -0.01784
 2715.636 | -0.01827
 2716.453 | -0.01880
 2717.270 | -0.01944
 2718.086 | -0.02020
 2718.903 | -0.02110
 2719.720 | -0.02215
 2720.537 | -0.02337
 2721.354 | -0.02476
 2722.170 | -0.02634
 2722.987 | -0.02809
 2723.804 | -0.03001
 2724.621 | -0.03203
 2725.438 | -0.03409
 2726.254 | -0.03607
 2727.071 | -0.03784
 2727.888 | -0.03921
 2728.705 | -0.04004
 2729.522 | -0.04022
 2730.338 | -0.03971
 2731.155 | -0.03856
 2731.972 | -0.03688
 2732.789 | -0.03485
 2733.606 | -0.03261
 2734.422 | -0.03032
 2735.239 | -0.02807
 2736.056 | -0.02594
 2736.873 | -0.02397
 2737.690 | -0.02217
 2738.506 | -0.02056
 2739.323 | -0.01911
 2740.140 | -0.01783
 2740.957 | -0.01669
 2741.774 | -0.01567
 2742.590 | -0.01478
 2743.407 | -0.01398
 2744.224 | -0.01327
 2745.041 | -0.01264
 2745.858 | -0.01208
 2746.674 | -0.01159
 2747.491 | -0.01114
 2748.308 | -0.01075
 2749.125 | -0.01039
 2749.942 | -0.01008
 2750.758 | -0.00980
 2751.575 | -0.00955
