  freq    |   fit    
----------+----------
 2500.000 | -0.00254
 2500.815 | -0.00257
 2501.630 | -0.00259
 2502.445 | -0.00261
 2503.260 | -0.00263
 2504.075 | -0.00266
 2504.889 | -0.00268
 2505.704 | -0.00271
 2506.519 | -0.00273
 2507.334 | -0.00275
 2508.149 | -0.00278
 2508.964 | -0.00281
 2509.779 | -0.00283
 2510.594 | -0.00286
 2511.409 | -0.00289
 2512.224 | -0.00291
 2513.038 | -0.00294
 2513.853 | -0.00297
 2514.668 | -0.00300
 2515.483 | -0.00303
 2516.298 | -0.00306
 2517.113 | -0.00309
 2517.928 | -0.00312
 2518.743 | -0.00315
 2519.558 | -0.00318
 2520.373 | -0.00321
 2521.187 | -0.00324
 2522.002 | -0.00328
 2522.817 | -0.00331
 2523.632 | -0.00334
 2524.447 | -0.00338
 2525.262 | -0.00341
 2526.077 | -0.00345
 2526.892 | -0.00349
 2527.707 | -0.00352
 2528.522 | -0.00356
 2529.336 | -0.00360
 2530.151 | -0.00364
 2530.966 | -0.00368
 2531.781 | -0.00372
 2532.596 | -0.00376
 2533.411 | -0.00380
 2534.226 | -0.00384
 2535.041 | -0.00389
 2535.856 | -0.00393
 2536.671 | -0.00398
 2537.485 | -0.00402
 2538.300 | -0.00407
 2539.115 | -0.00412
 2539.930 | -0.00417
 2540.745 | -0.00422
 2541.560 | -0.00427
 2542.375 | -0.00432
 2543.190 | -0.00437
 2544.005 | -0.00442
 2544.820 | -0.00448
 2545.634 | -0.00453
 2546.449 | -0.00459
 2547.264 | -0.00465
 2548.079 | -0.00471
 2548.894 | -0.00477
 2549.709 | -0.00483
 2550.524 | -0.00489
 2551.339 | -0.00496
 2552.154 | -0.00503
 2552.969 | -0.00509
 2553.783 | -0.00516
 2554.598 | -0.00523
 2555.413 | -0.00530
 2556.228 | -0.00538
 2557.043 | -0.00545
 2557.858 | -0.00553
 2558.673 | -0.00561
 2559.488 | -0.00569
 2560.303 | -0.00577
 2561.118 | -0.00586
 2561.932 | -0.00594
 2562.747 | -0.00603
 2563.562 | -0.00612
 2564.377 | -0.00622
 2565.192 | -0.00631
 2566.007 | -0.00641
 2566.822 | -0.00651
 2567.637 | -0.00661
 2568.452 | -0.00672
 2569.267 | -0.00683
 2570.081 | -0.00694
 2570.896 | -0.00705
 2571.711 | -0.00717
 2572.526 | -0.00729
 2573.341 | -0.00741
 2574.156 | -0.00754
 2574.971 | -0.00767
 2575.786 | -0.00781
 2576.601 | -0.00794
 2577.416 | -0.00809
 2578.231 | -0.00823
 2579.045 | -0.00838
 2579.860 | -0.00854
 2580.675 | -0.00870
 2581.490 | -0.00886
 2582.305 | -0.00903
 2583.120 | -0.00921
 2583.935 | -0.00939
 2584.750 | -0.00958
 2585.565 | -0.00977
 2586.380 | -0.00997
 2587.194 | -0.01018
 2588.009 | -0.01039
 2588.824 | -0.01061
 2589.639 | -0.01084
 2590.454 | -0.01107
 2591.269 | -0.01132
 2592.084 | -0.01157
 2592.899 | -0.01183
 2593.714 | -0.01210
 2594.529 | -0.01238
 2595.343 | -0.01268
 2596.158 | -0.01298
 2596.973 | -0.01329
 2597.788 | -0.01362
 2598.603 | -0.01396
 2599.418 | -0.01431
 2600.233 | -0.01468
 2601.048 | -0.01507
 2601.863 | -0.01546
 2602.678 | -0.01588
 2603.492 | -0.01631
 2604.307 | -0.01676
 2605.122 | -0.01724
 2605.937 | -0.01773
 2606.752 | -0.01824
 2607.567 | -0.01878
 2608.382 | -0.01935
 2609.197 | -0.01993
 2610.012 | -0.02055
 2610.827 | -0.02120
 2611.641 | -0.02187
 2612.456 | -0.02258
 2613.271 | -0.02333
 2614.086 | -0.02411
 2614.901 | -0.02493
 2615.716 | -0.02579
 2616.531 | -0.02670
 2617.346 | -0.02765
 2618.161 | -0.02865
 2618.976 | -0.02970
 2619.790 | -0.03080
 2620.605 | -0.03197
 2621.420 | -0.03319
 2622.235 | -0.03448
 2623.050 | -0.03583
 2623.865 | -0.03724
 2624.680 | -0.03873
 2625.495 | -0.04030
 2626.310 | -0.04193
 2627.125 | -0.04365
 2627.939 | -0.04543
 2628.754 | -0.04730
 2629.569 | -0.04924
 2630.384 | -0.05125
 2631.199 | -0.05333
 2632.014 | -0.05547
 2632.829 | -0.05766
 2633.644 | -0.05990
 2634.459 | -0.06217
 2635.274 | -0.06445
 2636.088 | -0.06672
 2636.903 | -0.06897
 2637.718 | -0.07116
 2638.533 | -0.07328
 2639.348 | -0.07530
 2640.163 | -0.07718
 2640.978 | -0.07890
 2641.793 | -0.08043
 2642.608 | -0.08175
 2643.423 | -0.08284
 2644.237 | -0.08368
 2645.052 | -0.08426
 2645.867 | -0.08459
 2646.682 | -0.08467
 2647.497 | -0.08451
 2648.312 | -0.08413
 2649.127 | -0.08355
 2649.942 | -0.08279
 2650.757 | -0.08190
 2651.572 | -0.08090
 2652.386 | -0.07981
 2653.201 | -0.07868
 2654.016 | -0.07753
 2654.831 | -0.07639
 2655.646 | -0.07528
 2656.461 | -0.07423
 2657.276 | -0.07326
 2658.091 | -0.07238
 2658.906 | -0.07161
 2659.721 | -0.07097
 2660.536 | -0.07046
 2661.350 | -0.07010
 2662.165 | -0.06990
 2662.980 | -0.06986
 2663.795 | -0.07000
 2664.610 | -0.07033
 2665.425 | -0.07085
 2666.240 | -0.07158
 2667.055 | -0.07253
 2667.870 | -0.07372
 2668.685 | -0.07515
 2669.499 | -0.07685
 2670.314 | -0.07883
 2671.129 | -0.08113
 2671.944 | -0.08377
 2672.759 | -0.08678
 2673.574 | -0.09019
 2674.389 | -0.09406
 2675.204 | -0.09843
 2676.019 | -0.10336
 2676.834 | -0.10893
 2677.648 | -0.11519
 2678.463 | -0.12228
 2679.278 | -0.13029
 2680.093 | -0.13936
 2680.908 | -0.14965
 2681.723 | -0.16135
 2682.538 | -0.17469
 2683.353 | -0.18995
 2684.168 | -0.20744
 2684.983 | -0.22756
 2685.797 | -0.25073
 2686.612 | -0.27756
 2687.427 | -0.30865
 2688.242 | -0.34473
 2689.057 | -0.38656
 2689.872 | -0.43496
 2690.687 | -0.49064
 2691.502 | -0.55403
 2692.317 | -0.62494
 2693.132 | -0.70213
 2693.946 | -0.78256
 2694.761 | -0.86133
 2695.576 | -0.93098
 2696.391 | -0.98281
 2697.206 | -1.00889
 2698.021 | -1.00471
 2698.836 | -0.97096
 2699.651 | -0.91330
 2700.466 | -0.84010
 2701.281 | -0.75988
 2702.095 | -0.67955
 2702.910 | -0.60341
 2703.725 | -0.53400
 2704.540 | -0.47224
 2705.355 | -0.41811
 2706.170 | -0.37108
 2706.985 | -0.33041
 2707.800 | -0.29528
 2708.615 | -0.26492
 2709.430 | -0.23864
 2710.244 | -0.21586
 2711.059 | -0.19599
 2711.874 | -0.17862
 2712.689 | -0.16339
 2713.504 | -0.14997
 2714.319 | -0.13811
 2715.134 | -0.12759
 2715.949 | -0.11822
 2716.764 | -0.10984
 2717.579 | -0.10234
 2718.393 | -0.09559
 2719.208 | -0.08950
 2720.023 | -0.08399
 2720.838 | -0.07899
 2721.653 | -0.07444
 2722.468 | -0.07029
 2723.283 | -0.06650
 2724.098 | -0.06302
 2724.913 | -0.05984
 2725.728 | -0.05690
 2726.542 | -0.05420
 2727.357 | -0.05170
 2728.172 | -0.04940
 2728.987 | -0.04726
 2729.802 | -0.04527
 2730.617 | -0.04343
 2731.432 | -0.04172
 2732.247 | -0.04013
 2733.062 | -0.03865
 2733.877 | -0.03726
 2734.692 | -0.03597
 2735.506 | -0.03477
 2736.321 | -0.03365
 2737.136 | -0.03260
 2737.951 | -0.03163
 2738.766 | -0.03072
 2739.581 | -0.02987
 2740.396 | -0.02908
 2741.211 | -0.02835
 2742.026 | -0.02767
 2742.841 | -0.02704
 2743.655 | -0.02647
 2744.470 | -0.02594
 2745.285 | -0.02547
 2746.100 | -0.02504
 2746.915 | -0.02466
 2747.730 | -0.02433
 2748.545 | -0.02405
 2749.360 | -0.02383
 2750.175 | -0.02366
 2750.990 | -0.02355
 2751.804 | -0.02350
 2752.619 | -0.02352
 2753.434 | -0.02361
 2754.249 | -0.02377
 2755.064 | -0.02403
 2755.879 | -0.02437
 2756.694 | -0.02482
 2757.509 | -0.02537
 2758.324 | -0.02602
 2759.139 | -0.02679
 2759.953 | -0.02765
 2760.768 | -0.02859
 2761.583 | -0.02957
 2762.398 | -0.03054
 2763.213 | -0.03142
 2764.028 | -0.03214
 2764.843 | -0.03260
 2765.658 | -0.03273
 2766.473 | -0.03250
 2767.288 | -0.03192
 2768.102 | -0.03103
 2768.917 | -0.02990
 2769.732 | -0.02863
 2770.547 | -0.02729
 2771.362 | -0.02596
 2772.177 | -0.02468
 2772.992 | -0.02348
 2773.807 | -0.02237
 2774.622 | -0.02137
 2775.437 | -0.02047
 2776.251 | -0.01967
 2777.066 | -0.01896
 2777.881 | -0.01834
 2778.696 | -0.01778
 2779.511 | -0.01730
 2780.326 | -0.01688
 2781.141 | -0.01651
 2781.956 | -0.01620
 2782.771 | -0.01593
 2783.586 | -0.01570
 2784.400 | -0.01552
 2785.215 | -0.01538
 2786.030 | -0.01527
 2786.845 | -0.01520
 2787.660 | -0.01516
 2788.475 | -0.01516
 2789.290 | -0.01520
 2790.105 | -0.01527
 2790.920 | -0.01539
 2791.735 | -0.01555
 2792.549 | -0.01575
 2793.364 | -0.01601
 2794.179 | -0.01633
 2794.994 | -0.01672
 2795.809 | -0.01718
 2796.624 | -0.01773
 2797.439 | -0.01839
 2798.254 | -0.01918
 2799.069 | -0.02012
 2799.884 | -0.02125
 2800.698 | -0.02260
 2801.513 | -0.02423
 2802.328 | -0.02620
 2803.143 | -0.02860
 2803.958 | -0.03151
 2804.773 | -0.03503
 2805.588 | -0.03923
 2806.403 | -0.04411
 2807.218 | -0.04948
 2808.033 | -0.05489
 2808.847 | -0.05954
 2809.662 | -0.06247
 2810.477 | -0.06302
 2811.292 | -0.06123
 2812.107 | -0.05788
 2812.922 | -0.05396
 2813.737 | -0.05028
 2814.552 | -0.04730
 2815.367 | -0.04522
 2816.182 | -0.04411
 2816.997 | -0.04396
 2817.811 | -0.04476
 2818.626 | -0.04653
 2819.441 | -0.04928
 2820.256 | -0.05304
 2821.071 | -0.05779
 2821.886 | -0.06339
 2822.701 | -0.06949
 2823.516 | -0.07543
 2824.331 | -0.08023
 2825.146 | -0.08283
 2825.960 | -0.08248
 2826.775 | -0.07919
 2827.590 | -0.07366
 2828.405 | -0.06695
 2829.220 | -0.06001
 2830.035 | -0.05346
 2830.850 | -0.04764
 2831.665 | -0.04262
 2832.480 | -0.03838
 2833.295 | -0.03483
 2834.109 | -0.03187
 2834.924 | -0.02941
 2835.739 | -0.02735
 2836.554 | -0.02563
 2837.369 | -0.02419
 2838.184 | -0.02298
 2838.999 | -0.02196
 2839.814 | -0.02110
 2840.629 | -0.02038
 2841.444 | -0.01977
 2842.258 | -0.01927
 2843.073 | -0.01885
 2843.888 | -0.01850
 2844.703 | -0.01822
 2845.518 | -0.01799
 2846.333 | -0.01782
 2847.148 | -0.01769
 2847.963 | -0.01761
 2848.778 | -0.01757
 2849.593 | -0.01756
 2850.407 | -0.01758
 2851.222 | -0.01764
 2852.037 | -0.01773
 2852.852 | -0.01785
 2853.667 | -0.01800
 2854.482 | -0.01818
 2855.297 | -0.01838
 2856.112 | -0.01862
 2856.927 | -0.01888
 2857.742 | -0.01917
 2858.556 | -0.01949
 2859.371 | -0.01984
 2860.186 | -0.02023
 2861.001 | -0.02065
 2861.816 | -0.02110
 2862.631 | -0.02159
 2863.446 | -0.02212
 2864.261 | -0.02269
 2865.076 | -0.02330
 2865.891 | -0.02396
 2866.705 | -0.02467
 2867.520 | -0.02544
 2868.335 | -0.02627
 2869.150 | -0.02716
 2869.965 | -0.02812
 2870.780 | -0.02916
 2871.595 | -0.03028
 2872.410 | -0.03150
 2873.225 | -0.03282
 2874.040 | -0.03425
 2874.854 | -0.03581
 2875.669 | -0.03750
 2876.484 | -0.03935
 2877.299 | -0.04138
 2878.114 | -0.04360
 2878.929 | -0.04604
 2879.744 | -0.04873
 2880.559 | -0.05169
 2881.374 | -0.05497
 2882.189 | -0.05862
 2883.003 | -0.06266
 2883.818 | -0.06718
 2884.633 | -0.07222
 2885.448 | -0.07786
 2886.263 | -0.08419
 2887.078 | -0.09128
 2887.893 | -0.09924
 2888.708 | -0.10816
 2889.523 | -0.11811
 2890.338 | -0.12918
 2891.153 | -0.14137
 2891.967 | -0.15461
 2892.782 | -0.16878
 2893.597 | -0.18353
 2894.412 | -0.19836
 2895.227 | -0.21255
 2896.042 | -0.22525
 2896.857 | -0.23553
 2897.672 | -0.24265
 2898.487 | -0.24617
 2899.302 | -0.24616
 2900.116 | -0.24316
 2900.931 | -0.23807
 2901.746 | -0.23198
 2902.561 | -0.22599
 2903.376 | -0.22109
 2904.191 | -0.21811
 2905.006 | -0.21774
 2905.821 | -0.22055
 2906.636 | -0.22701
 2907.451 | -0.23743
 2908.265 | -0.25180
 2909.080 | -0.26961
 2909.895 | -0.28931
 2910.710 | -0.30803
 2911.525 | -0.32178
 2912.340 | -0.32657
 2913.155 | -0.32027
 2913.970 | -0.30387
 2914.785 | -0.28080
 2915.600 | -0.25515
 2916.414 | -0.23018
 2917.229 | -0.20769
 2918.044 | -0.18850
 2918.859 | -0.17268
 2919.674 | -0.15995
 2920.489 | -0.14993
 2921.304 | -0.14219
 2922.119 | -0.13632
 2922.934 | -0.13193
 2923.749 | -0.12868
 2924.563 | -0.12622
 2925.378 | -0.12424
 2926.193 | -0.12245
 2927.008 | -0.12063
 2927.823 | -0.11864
 2928.638 | -0.11643
 2929.453 | -0.11402
 2930.268 | -0.11150
 2931.083 | -0.10897
 2931.898 | -0.10655
 2932.712 | -0.10434
 2933.527 | -0.10241
 2934.342 | -0.10080
 2935.157 | -0.09953
 2935.972 | -0.09860
 2936.787 | -0.09798
 2937.602 | -0.09765
 2938.417 | -0.09756
 2939.232 | -0.09768
 2940.047 | -0.09797
 2940.861 | -0.09837
 2941.676 | -0.09883
 2942.491 | -0.09931
 2943.306 | -0.09977
 2944.121 | -0.10014
 2944.936 | -0.10040
 2945.751 | -0.10051
 2946.566 | -0.10043
 2947.381 | -0.10014
 2948.196 | -0.09962
 2949.010 | -0.09886
 2949.825 | -0.09787
 2950.640 | -0.09664
 2951.455 | -0.09520
 2952.270 | -0.09357
 2953.085 | -0.09176
 2953.900 | -0.08982
 2954.715 | -0.08776
 2955.530 | -0.08562
 2956.345 | -0.08343
 2957.159 | -0.08122
 2957.974 | -0.07901
 2958.789 | -0.07682
 2959.604 | -0.07468
 2960.419 | -0.07261
 2961.234 | -0.07062
 2962.049 | -0.06871
 2962.864 | -0.06691
 2963.679 | -0.06522
 2964.494 | -0.06365
 2965.308 | -0.06219
 2966.123 | -0.06086
 2966.938 | -0.05966
 2967.753 | -0.05858
 2968.568 | -0.05764
 2969.383 | -0.05684
 2970.198 | -0.05617
 2971.013 | -0.05564
 2971.828 | -0.05525
 2972.643 | -0.05501
 2973.458 | -0.05492
 2974.272 | -0.05499
 2975.087 | -0.05522
 2975.902 | -0.05563
 2976.717 | -0.05622
 2977.532 | -0.05700
 2978.347 | -0.05800
 2979.162 | -0.05922
 2979.977 | -0.06070
 2980.792 | -0.06245
 2981.607 | -0.06451
 2982.421 | -0.06690
 2983.236 | -0.06968
 2984.051 | -0.07290
 2984.866 | -0.07662
 2985.681 | -0.08090
 2986.496 | -0.08584
 2987.311 | -0.09155
 2988.126 | -0.09816
 2988.941 | -0.10582
 2989.756 | -0.11473
 2990.570 | -0.12511
 2991.385 | -0.13729
 2992.200 | -0.15160
 2993.015 | -0.16848
 2993.830 | -0.18846
 2994.645 | -0.21217
 2995.460 | -0.24033
 2996.275 | -0.27371
 2997.090 | -0.31307
 2997.905 | -0.35890
 2998.719 | -0.41105
 2999.534 | -0.46835
 3000.349 | -0.52751
 3001.164 | -0.58280
 3001.979 | -0.62627
 3002.794 | -0.64971
 3003.609 | -0.64791
 3004.424 | -0.62124
 3005.239 | -0.57546
 3006.054 | -0.51890
 3006.868 | -0.45938
 3007.683 | -0.40216
 3008.498 | -0.35028
 3009.313 | -0.30483
 3010.128 | -0.26582
 3010.943 | -0.23269
 3011.758 | -0.20468
 3012.573 | -0.18102
 3013.388 | -0.16099
 3014.203 | -0.14399
 3015.017 | -0.12950
 3015.832 | -0.11707
 3016.647 | -0.10637
 3017.462 | -0.09712
 3018.277 | -0.08906
 3019.092 | -0.08203
 3019.907 | -0.07586
 3020.722 | -0.07042
 3021.537 | -0.06561
 3022.352 | -0.06134
 3023.166 | -0.05753
 3023.981 | -0.05413
 3024.796 | -0.05108
 3025.611 | -0.04833
 3026.426 | -0.04586
 3027.241 | -0.04362
 3028.056 | -0.04160
 3028.871 | -0.03977
 3029.686 | -0.03810
 3030.501 | -0.03659
 3031.315 | -0.03522
 3032.130 | -0.03397
 3032.945 | -0.03284
 3033.760 | -0.03181
 3034.575 | -0.03087
 3035.390 | -0.03002
 3036.205 | -0.02925
 3037.020 | -0.02856
 3037.835 | -0.02794
 3038.650 | -0.02739
 3039.464 | -0.02690
 3040.279 | -0.02646
 3041.094 | -0.02609
 3041.909 | -0.02577
 3042.724 | -0.02550
 3043.539 | -0.02528
 3044.354 | -0.02512
 3045.169 | -0.02500
 3045.984 | -0.02492
 3046.799 | -0.02490
 3047.614 | -0.02492
 3048.428 | -0.02498
 3049.243 | -0.02509
 3050.058 | -0.02525
 3050.873 | -0.02545
 3051.688 | -0.02569
 3052.503 | -0.02598
 3053.318 | -0.02630
 3054.133 | -0.02667
 3054.948 | -0.02707
 3055.763 | -0.02752
 3056.577 | -0.02799
 3057.392 | -0.02850
 3058.207 | -0.02903
 3059.022 | -0.02958
 3059.837 | -0.03015
 3060.652 | -0.03072
 3061.467 | -0.03129
 3062.282 | -0.03185
 3063.097 | -0.03238
 3063.912 | -0.03288
 3064.726 | -0.03334
 3065.541 | -0.03373
 3066.356 | -0.03406
 3067.171 | -0.03431
 3067.986 | -0.03447
 3068.801 | -0.03453
 3069.616 | -0.03449
