  freq    |   fit    
----------+----------
 2500.000 | -0.00051
 2501.716 | -0.00051
 2503.431 | -0.00052
 2505.147 | -0.00053
 2506.863 | -0.00053
 2508.578 | -0.00054
 2510.294 | -0.00055
 2512.010 | -0.00056
 2513.725 | -0.00056
 2515.441 | -0.00057
 2517.157 | -0.00058
 2518.873 | -0.00059
 2520.588 | -0.00060
 2522.304 | -0.00061
 2524.020 | -0.00062
 2525.735 | -0.00063
 2527.451 | -0.00064
 2529.167 | -0.00065
 2530.882 | -0.00066
 2532.598 | -0.00067
 2534.314 | -0.00068
 2536.029 | -0.00069
 2537.745 | -0.00071
 2539.461 | -0.00072
 2541.176 | -0.00073
 2542.892 | -0.00074
 2544.608 | -0.00076
 2546.324 | -0.00077
 2548.039 | -0.00079
 2549.755 | -0.00080
 2551.471 | -0.00082
 2553.186 | -0.00084
 2554.902 | -0.00085
 2556.618 | -0.00087
 2558.333 | -0.00089
 2560.049 | -0.00091
 2561.765 | -0.00093
 2563.480 | -0.00095
 2565.196 | -0.00098
 2566.912 | -0.00100
 2568.627 | -0.00102
 2570.343 | -0.00105
 2572.059 | -0.00108
 2573.775 | -0.00111
 2575.490 | -0.00114
 2577.206 | -0.00117
 2578.922 | -0.00120
 2580.637 | -0.00124
 2582.353 | -0.00128
 2584.069 | -0.00132
 2585.784 | -0.00136
 2587.500 | -0.00141
 2589.216 | -0.00146
 2590.931 | -0.00151
 2592.647 | -0.00157
 2594.363 | -0.00163
 2596.078 | -0.00169
 2597.794 | -0.00177
 2599.510 | -0.00184
 2601.225 | -0.00193
 2602.941 | -0.00202
 2604.657 | -0.00212
 2606.373 | -0.00223
 2608.088 | -0.00235
 2609.804 | -0.00248
 2611.520 | -0.00263
 2613.235 | -0.00280
 2614.951 | -0.00298
 2616.667 | -0.00320
 2618.382 | -0.00343
 2620.098 | -0.00371
 2621.814 | -0.00402
 2623.529 | -0.00438
 2625.245 | -0.00480
 2626.961 | -0.00530
 2628.676 | -0.00589
 2630.392 | -0.00660
 2632.108 | -0.00747
 2633.824 | -0.00853
 2635.539 | -0.00986
 2637.255 | -0.01156
 2638.971 | -0.01375
 2640.686 | -0.01667
 2642.402 | -0.02063
 2644.118 | -0.02617
 2645.833 | -0.03413
 2647.549 | -0.04588
 2649.265 | -0.06343
 2650.980 | -0.08880
 2652.696 | -0.12024
 2654.412 | -0.14359
 2656.127 | -0.13859
 2657.843 | -0.11030
 2659.559 | -0.08003
 2661.275 | -0.05727
 2662.990 | -0.04184
 2664.706 | -0.03151
 2666.422 | -0.02447
 2668.137 | -0.01954
 2669.853 | -0.01598
 2671.569 | -0.01336
 2673.284 | -0.01138
 2675.000 | -0.00985
 2676.716 | -0.00865
 2678.431 | -0.00770
 2680.147 | -0.00693
 2681.863 | -0.00630
 2683.578 | -0.00578
 2685.294 | -0.00535
 2687.010 | -0.00499
 2688.725 | -0.00469
 2690.441 | -0.00443
 2692.157 | -0.00422
 2693.873 | -0.00403
 2695.588 | -0.00388
 2697.304 | -0.00374
 2699.020 | -0.00363
 2700.735 | -0.00354
 2702.451 | -0.00346
 2704.167 | -0.00339
 2705.882 | -0.00334
 2707.598 | -0.00330
 2709.314 | -0.00326
 2711.029 | -0.00324
 2712.745 | -0.00322
 2714.461 | -0.00322
 2716.176 | -0.00321
 2717.892 | -0.00322
 2719.608 | -0.00323
 2721.324 | -0.00325
 2723.039 | -0.00327
 2724.755 | -0.00330
 2726.471 | -0.00333
 2728.186 | -0.00337
 2729.902 | -0.00341
 2731.618 | -0.00346
 2733.333 | -0.00351
 2735.049 | -0.00357
 2736.765 | -0.00364
 2738.480 | -0.00370
 2740.196 | -0.00378
 2741.912 | -0.00386
 2743.627 | -0.00395
 2745.343 | -0.00404
 2747.059 | -0.00414
 2748.775 | -0.00424
 2750.490 | -0.00435
 2752.206 | -0.00447
 2753.922 | -0.00460
 2755.637 | -0.00473
 2757.353 | -0.00487
 2759.069 | -0.00502
 2760.784 | -0.00519
 2762.500 | -0.00536
 2764.216 | -0.00554
 2765.931 | -0.00573
 2767.647 | -0.00594
 2769.363 | -0.00616
 2771.078 | -0.00640
 2772.794 | -0.00665
 2774.510 | -0.00692
 2776.225 | -0.00721
 2777.941 | -0.00752
 2779.657 | -0.00785
 2781.373 | -0.00821
 2783.088 | -0.00859
 2784.804 | -0.00900
 2786.520 | -0.00945
 2788.235 | -0.00993
 2789.951 | -0.01046
 2791.667 | -0.01103
 2793.382 | -0.01165
 2795.098 | -0.01233
 2796.814 | -0.01307
 2798.529 | -0.01388
 2800.245 | -0.01477
 2801.961 | -0.01576
 2803.676 | -0.01685
 2805.392 | -0.01807
 2807.108 | -0.01942
 2808.824 | -0.02093
 2810.539 | -0.02263
 2812.255 | -0.02455
 2813.971 | -0.02672
 2815.686 | -0.02918
 2817.402 | -0.03200
 2819.118 | -0.03524
 2820.833 | -0.03898
 2822.549 | -0.04331
 2824.265 | -0.04836
 2825.980 | -0.05425
 2827.696 | -0.06115
 2829.412 | -0.06924
 2831.127 | -0.07870
 2832.843 | -0.08969
 2834.559 | -0.10231
 2836.275 | -0.11644
 2837.990 | -0.13168
 2839.706 | -0.14716
 2841.422 | -0.16141
 2843.137 | -0.17254
 2844.853 | -0.17875
 2846.569 | -0.17898
 2848.284 | -0.17348
 2850.000 | -0.16365
 2851.716 | -0.15147
 2853.431 | -0.13880
 2855.147 | -0.12697
 2856.863 | -0.11679
 2858.578 | -0.10868
 2860.294 | -0.10280
 2862.010 | -0.09919
 2863.725 | -0.09791
 2865.441 | -0.09904
 2867.157 | -0.10273
 2868.873 | -0.10922
 2870.588 | -0.11875
 2872.304 | -0.13152
 2874.020 | -0.14743
 2875.735 | -0.16582
 2877.451 | -0.18537
 2879.167 | -0.20454
 2880.882 | -0.22318
 2882.598 | -0.24471
 2884.314 | -0.27708
 2886.029 | -0.33090
 2887.745 | -0.40738
 2889.461 | -0.46520
 2891.176 | -0.43435
 2892.892 | -0.33669
 2894.608 | -0.24346
 2896.324 | -0.17744
 2898.039 | -0.13367
 2899.755 | -0.10425
 2901.471 | -0.08381
 2903.186 | -0.06910
 2904.902 | -0.05815
 2906.618 | -0.04977
 2908.333 | -0.04319
