  freq    |   fit    
----------+----------
 2500.000 | -0.00167
 2500.819 | -0.00169
 2501.637 | -0.00171
 2502.456 | -0.00173
 2503.275 | -0.00175
 2504.094 | -0.00178
 2504.912 | -0.00180
 2505.731 | -0.00183
 2506.550 | -0.00185
 2507.368 | -0.00188
 2508.187 | -0.00190
 2509.006 | -0.00193
 2509.825 | -0.00196
 2510.643 | -0.00198
 2511.462 | -0.00201
 2512.281 | -0.00204
 2513.099 | -0.00207
 2513.918 | -0.00210
 2514.737 | -0.00213
 2515.556 | -0.00217
 2516.374 | -0.00220
 2517.193 | -0.00223
 2518.012 | -0.00227
 2518.830 | -0.00230
 2519.649 | -0.00234
 2520.468 | -0.00238
 2521.287 | -0.00242
 2522.105 | -0.00246
 2522.924 | -0.00250
 2523.743 | -0.00254
 2524.561 | -0.00258
 2525.380 | -0.00263
 2526.199 | -0.00268
 2527.018 | -0.00272
 2527.836 | -0.00277
 2528.655 | -0.00282
 2529.474 | -0.00288
 2530.292 | -0.00293
 2531.111 | -0.00299
 2531.930 | -0.00304
 2532.749 | -0.00310
 2533.567 | -0.00316
 2534.386 | -0.00323
 2535.205 | -0.00329
 2536.023 | -0.00336
 2536.842 | -0.00343
 2537.661 | -0.00351
 2538.480 | -0.00359
 2539.298 | -0.00367
 2540.117 | -0.00375
 2540.936 | -0.00383
 2541.754 | -0.00392
 2542.573 | -0.00402
 2543.392 | -0.00412
 2544.211 | -0.00422
 2545.029 | -0.00432
 2545.848 | -0.00443
 2546.667 | -0.00455
 2547.485 | -0.00467
 2548.304 | -0.00480
 2549.123 | -0.00494
 2549.942 | -0.00508
 2550.760 | -0.00522
 2551.579 | -0.00538
 2552.398 | -0.00554
 2553.216 | -0.00572
 2554.035 | -0.00590
 2554.854 | -0.00609
 2555.673 | -0.00630
 2556.491 | -0.00652
 2557.310 | -0.00675
 2558.129 | -0.00700
 2558.947 | -0.00726
 2559.766 | -0.00754
 2560.585 | -0.00784
 2561.404 | -0.00816
 2562.222 | -0.00850
 2563.041 | -0.00887
 2563.860 | -0.00927
 2564.678 | -0.00970
 2565.497 | -0.01016
 2566.316 | -0.01066
 2567.135 | -0.01121
 2567.953 | -0.01180
 2568.772 | -0.01244
 2569.591 | -0.01314
 2570.409 | -0.01391
 2571.228 | -0.01474
 2572.047 | -0.01566
 2572.865 | -0.01666
 2573.684 | -0.01775
 2574.503 | -0.01895
