  freq    |   fit    
----------+----------
 2500.000 | -0.00078
 2500.811 | -0.00079
 2501.622 | -0.00079
 2502.433 | -0.00080
 2503.244 | -0.00080
 2504.056 | -0.00081
 2504.867 | -0.00081
 2505.678 | -0.00082
 2506.489 | -0.00082
 2507.300 | -0.00083
 2508.111 | -0.00083
 2508.922 | -0.00084
 2509.733 | -0.00084
 2510.545 | -0.00085
 2511.356 | -0.00086
 2512.167 | -0.00086
 2512.978 | -0.00087
 2513.789 | -0.00087
 2514.600 | -0.00088
 2515.411 | -0.00089
 2516.222 | -0.00089
 2517.034 | -0.00090
 2517.845 | -0.00091
 2518.656 | -0.00091
 2519.467 | -0.00092
 2520.278 | -0.00092
 2521.089 | -0.00093
 2521.900 | -0.00094
 2522.711 | -0.00095
 2523.523 | -0.00095
 2524.334 | -0.00096
 2525.145 | -0.00097
 2525.956 | -0.00097
 2526.767 | -0.00098
 2527.578 | -0.00099
 2528.389 | -0.00100
 2529.200 | -0.00100
 2530.012 | -0.00101
 2530.823 | -0.00102
 2531.634 | -0.00103
 2532.445 | -0.00103
 2533.256 | -0.00104
 2534.067 | -0.00105
 2534.878 | -0.00106
 2535.689 | -0.00107
 2536.501 | -0.00107
 2537.312 | -0.00108
 2538.123 | -0.00109
 2538.934 | -0.00110
 2539.745 | -0.00111
 2540.556 | -0.00112
 2541.367 | -0.00113
 2542.178 | -0.00114
 2542.990 | -0.00115
 2543.801 | -0.00115
 2544.612 | -0.00116
 2545.423 | -0.00117
 2546.234 | -0.00118
 2547.045 | -0.00119
 2547.856 | -0.00120
 2548.667 | -0.00121
 2549.479 | -0.00122
 2550.290 | -0.00123
 2551.101 | -0.00124
 2551.912 | -0.00126
 2552.723 | -0.00127
 2553.534 | -0.00128
 2554.345 | -0.00129
 2555.156 | -0.00130
 2555.968 | -0.00131
 2556.779 | -0.00132
 2557.590 | -0.00133
 2558.401 | -0.00135
 2559.212 | -0.00136
 2560.023 | -0.00137
 2560.834 | -0.00138
 2561.645 | -0.00140
 2562.457 | -0.00141
 2563.268 | -0.00142
 2564.079 | -0.00144
 2564.890 | -0.00145
 2565.701 | -0.00146
 2566.512 | -0.00148
 2567.323 | -0.00149
 2568.134 | -0.00150
 2568.946 | -0.00152
 2569.757 | -0.00153
 2570.568 | -0.00155
 2571.379 | -0.00156
 2572.190 | -0.00158
 2573.001 | -0.00160
 2573.812 | -0.00161
 2574.623 | -0.00163
 2575.435 | -0.00164
 2576.246 | -0.00166
 2577.057 | -0.00168
 2577.868 | -0.00169
 2578.679 | -0.00171
 2579.490 | -0.00173
 2580.301 | -0.00175
 2581.112 | -0.00177
 2581.924 | -0.00179
 2582.735 | -0.00180
 2583.546 | -0.00182
 2584.357 | -0.00184
 2585.168 | -0.00186
 2585.979 | -0.00188
 2586.790 | -0.00190
 2587.601 | -0.00193
 2588.413 | -0.00195
 2589.224 | -0.00197
 2590.035 | -0.00199
 2590.846 | -0.00201
 2591.657 | -0.00204
 2592.468 | -0.00206
 2593.279 | -0.00209
 2594.090 | -0.00211
 2594.902 | -0.00214
 2595.713 | -0.00216
 2596.524 | -0.00219
 2597.335 | -0.00221
 2598.146 | -0.00224
 2598.957 | -0.00227
 2599.768 | -0.00230
 2600.579 | -0.00232
 2601.390 | -0.00235
 2602.202 | -0.00238
 2603.013 | -0.00241
 2603.824 | -0.00244
 2604.635 | -0.00248
 2605.446 | -0.00251
 2606.257 | -0.00254
 2607.068 | -0.00258
 2607.879 | -0.00261
 2608.691 | -0.00265
 2609.502 | -0.00268
 2610.313 | -0.00272
 2611.124 | -0.00276
 2611.935 | -0.00280
 2612.746 | -0.00284
 2613.557 | -0.00288
 2614.368 | -0.00292
 2615.180 | -0.00296
 2615.991 | -0.00300
 2616.802 | -0.00305
 2617.613 | -0.00309
 2618.424 | -0.00314
 2619.235 | -0.00319
 2620.046 | -0.00324
 2620.857 | -0.00329
 2621.669 | -0.00334
 2622.480 | -0.00339
 2623.291 | -0.00345
 2624.102 | -0.00350
 2624.913 | -0.00356
 2625.724 | -0.00362
 2626.535 | -0.00368
 2627.346 | -0.00375
 2628.158 | -0.00381
 2628.969 | -0.00388
 2629.780 | -0.00395
 2630.591 | -0.00402
 2631.402 | -0.00409
 2632.213 | -0.00417
 2633.024 | -0.00424
 2633.835 | -0.00433
 2634.647 | -0.00441
 2635.458 | -0.00450
 2636.269 | -0.00459
 2637.080 | -0.00468
 2637.891 | -0.00478
 2638.702 | -0.00488
 2639.513 | -0.00498
 2640.324 | -0.00509
 2641.136 | -0.00520
 2641.947 | -0.00532
 2642.758 | -0.00545
 2643.569 | -0.00558
 2644.380 | -0.00571
 2645.191 | -0.00586
 2646.002 | -0.00601
 2646.813 | -0.00616
 2647.625 | -0.00633
 2648.436 | -0.00651
 2649.247 | -0.00670
 2650.058 | -0.00690
 2650.869 | -0.00712
 2651.680 | -0.00735
 2652.491 | -0.00760
 2653.302 | -0.00787
 2654.114 | -0.00816
 2654.925 | -0.00848
 2655.736 | -0.00883
 2656.547 | -0.00922
 2657.358 | -0.00965
 2658.169 | -0.01013
 2658.980 | -0.01066
 2659.791 | -0.01126
 2660.603 | -0.01194
 2661.414 | -0.01271
 2662.225 | -0.01357
 2663.036 | -0.01454
 2663.847 | -0.01560
 2664.658 | -0.01674
 2665.469 | -0.01791
 2666.280 | -0.01905
 2667.092 | -0.02005
 2667.903 | -0.02081
 2668.714 | -0.02123
 2669.525 | -0.02129
 2670.336 | -0.02104
 2671.147 | -0.02056
 2671.958 | -0.01997
 2672.769 | -0.01937
 2673.581 | -0.01881
 2674.392 | -0.01835
 2675.203 | -0.01800
 2676.014 | -0.01776
 2676.825 | -0.01762
 2677.636 | -0.01759
 2678.447 | -0.01765
 2679.258 | -0.01780
 2680.070 | -0.01802
 2680.881 | -0.01831
 2681.692 | -0.01867
 2682.503 | -0.01909
 2683.314 | -0.01958
 2684.125 | -0.02012
 2684.936 | -0.02073
 2685.747 | -0.02140
 2686.559 | -0.02213
 2687.370 | -0.02293
 2688.181 | -0.02379
 2688.992 | -0.02473
 2689.803 | -0.02574
 2690.614 | -0.02684
 2691.425 | -0.02803
 2692.236 | -0.02931
 2693.048 | -0.03070
 2693.859 | -0.03221
 2694.670 | -0.03384
 2695.481 | -0.03561
 2696.292 | -0.03754
 2697.103 | -0.03963
 2697.914 | -0.04192
 2698.725 | -0.04442
 2699.537 | -0.04716
 2700.348 | -0.05016
 2701.159 | -0.05347
 2701.970 | -0.05711
 2702.781 | -0.06114
 2703.592 | -0.06562
 2704.403 | -0.07060
 2705.214 | -0.07616
 2706.025 | -0.08239
 2706.837 | -0.08941
 2707.648 | -0.09731
 2708.459 | -0.10628
 2709.270 | -0.11647
 2710.081 | -0.12812
 2710.892 | -0.14148
 2711.703 | -0.15688
 2712.514 | -0.17468
 2713.326 | -0.19537
 2714.137 | -0.21943
 2714.948 | -0.24750
 2715.759 | -0.28024
 2716.570 | -0.31838
 2717.381 | -0.36252
 2718.192 | -0.41305
 2719.003 | -0.46978
 2719.815 | -0.53155
 2720.626 | -0.59541
 2721.437 | -0.65655
 2722.248 | -0.70816
 2723.059 | -0.74264
 2723.870 | -0.75390
 2724.681 | -0.73976
 2725.492 | -0.70294
 2726.304 | -0.64978
 2727.115 | -0.58802
 2727.926 | -0.52422
 2728.737 | -0.46301
 2729.548 | -0.40699
 2730.359 | -0.35723
 2731.170 | -0.31383
 2731.981 | -0.27637
 2732.793 | -0.24419
 2733.604 | -0.21665
 2734.415 | -0.19304
 2735.226 | -0.17275
 2736.037 | -0.15527
 2736.848 | -0.14015
 2737.659 | -0.12702
 2738.470 | -0.11557
 2739.282 | -0.10554
 2740.093 | -0.09673
 2740.904 | -0.08895
 2741.715 | -0.08206
 2742.526 | -0.07593
 2743.337 | -0.07046
 2744.148 | -0.06557
 2744.959 | -0.06116
 2745.771 | -0.05719
 2746.582 | -0.05361
 2747.393 | -0.05036
 2748.204 | -0.04740
 2749.015 | -0.04471
 2749.826 | -0.04225
 2750.637 | -0.04001
 2751.448 | -0.03794
 2752.260 | -0.03605
 2753.071 | -0.03431
 2753.882 | -0.03270
 2754.693 | -0.03121
 2755.504 | -0.02984
 2756.315 | -0.02857
 2757.126 | -0.02740
 2757.937 | -0.02630
 2758.749 | -0.02529
 2759.560 | -0.02435
 2760.371 | -0.02347
 2761.182 | -0.02266
 2761.993 | -0.02190
 2762.804 | -0.02119
 2763.615 | -0.02054
 2764.426 | -0.01993
 2765.238 | -0.01936
 2766.049 | -0.01884
 2766.860 | -0.01835
 2767.671 | -0.01790
 2768.482 | -0.01749
 2769.293 | -0.01711
 2770.104 | -0.01676
 2770.915 | -0.01645
 2771.727 | -0.01617
 2772.538 | -0.01592
 2773.349 | -0.01570
 2774.160 | -0.01551
 2774.971 | -0.01536
 2775.782 | -0.01524
 2776.593 | -0.01516
 2777.404 | -0.01512
 2778.216 | -0.01512
 2779.027 | -0.01517
 2779.838 | -0.01527
 2780.649 | -0.01543
 2781.460 | -0.01565
 2782.271 | -0.01596
 2783.082 | -0.01636
 2783.893 | -0.01686
 2784.705 | -0.01750
 2785.516 | -0.01829
 2786.327 | -0.01926
 2787.138 | -0.02044
 2787.949 | -0.02183
 2788.760 | -0.02343
 2789.571 | -0.02516
 2790.382 | -0.02689
 2791.194 | -0.02838
 2792.005 | -0.02942
 2792.816 | -0.02990
 2793.627 | -0.02989
 2794.438 | -0.02964
 2795.249 | -0.02943
 2796.060 | -0.02949
 2796.871 | -0.02997
 2797.683 | -0.03099
 2798.494 | -0.03264
 2799.305 | -0.03501
 2800.116 | -0.03825
 2800.927 | -0.04251
 2801.738 | -0.04801
 2802.549 | -0.05493
 2803.360 | -0.06342
 2804.171 | -0.07334
 2804.983 | -0.08405
 2805.794 | -0.09399
 2806.605 | -0.10088
 2807.416 | -0.10256
 2808.227 | -0.09842
 2809.038 | -0.08990
 2809.849 | -0.07936
 2810.660 | -0.06883
 2811.472 | -0.05942
 2812.283 | -0.05154
 2813.094 | -0.04515
 2813.905 | -0.04008
 2814.716 | -0.03610
 2815.527 | -0.03302
 2816.338 | -0.03066
 2817.149 | -0.02891
 2817.961 | -0.02766
 2818.772 | -0.02687
 2819.583 | -0.02648
 2820.394 | -0.02648
 2821.205 | -0.02687
 2822.016 | -0.02767
 2822.827 | -0.02891
 2823.638 | -0.03067
 2824.450 | -0.03303
 2825.261 | -0.03610
 2826.072 | -0.04004
 2826.883 | -0.04499
 2827.694 | -0.05112
 2828.505 | -0.05848
 2829.316 | -0.06692
 2830.127 | -0.07583
 2830.939 | -0.08399
 2831.750 | -0.08960
 2832.561 | -0.09106
 2833.372 | -0.08783
 2834.183 | -0.08088
