  freq    |   fit    
 2699.300 | -0.00324
 2700.117 | -0.00328
 2700.933 | -0.00332
 2701.750 | -0.00336
 2702.567 | -0.00340
 2703.384 | -0.00344
 2704.201 | -0.00349
 2705.018 | -0.00353
 2705.834 | -0.00358
 2706.651 | -0.00363
 2707.468 | -0.00367
 2708.285 | -0.00372
 2709.102 | -0.00377
 2709.918 | -0.00383
 2710.735 | -0.00388
 2711.552 | -0.00393
 2712.369 | -0.00399
 2713.186 | -0.00405
 2714.002 | -0.00411
 2714.819 | -0.00417
 2715.636 | -0.00423
 2716.453 | -0.00429
 2717.270 | -0.00436
 2718.086 | -0.00443
 2718.903 | -0.00450
 2719.720 | -0.00457
 2720.537 | -0.00464
 2721.354 | -0.00472
 2722.170 | -0.00480
 2722.987 | -0.00488
 2723.804 | -0.00497
 2724.621 | -0.00505
 2725.438 | -0.00514
 2726.254 | -0.00524
 2727.071 | -0.00534
 2727.888 | -0.00544
 2728.705 | -0.00554
 2729.522 | -0.00565
 2730.338 | -0.00577
 2731.155 | -0.00589
 2731.972 | -0.00602
 2732.789 | -0.00615
 2733.606 | -0.00629
 2734.422 | -0.00643
 2735.239 | -0.00659
 2736.056 | -0.00675
 2736.873 | -0.00692
 2737.690 | -0.00711
 2738.506 | -0.00730
 2739.323 | -0.00751
 2740.140 | -0.00774
 2740.957 | -0.00798
 2741.774 | -0.00824
 2742.590 | -0.00852
 2743.407 | -0.00883
 2744.224 | -0.00916
 2745.041 | -0.00953
 2745.858 | -0.00994
 2746.674 | -0.01039
 2747.491 | -0.01090
 2748.308 | -0.01147
 2749.125 | -0.01211
 2749.942 | -0.01284
 2750.758 | -0.01367
 2751.575 | -0.01462
 2752.392 | -0.01571
 2753.209 | -0.01696
 2754.026 | -0.01838
 2754.842 | -0.01998
 2755.659 | -0.02176
 2756.476 | -0.02366
 2757.293 | -0.02559
 2758.110 | -0.02740
 2758.926 | -0.02889
 2759.743 | -0.02985
 2760.560 | -0.03016
 2761.377 | -0.02978
 2762.194 | -0.02884
 2763.011 | -0.02754
 2763.827 | -0.02607
 2764.644 | -0.02461
 2765.461 | -0.02326
 2766.278 | -0.02208
 2767.095 | -0.02108
 2767.911 | -0.02028
 2768.728 | -0.01964
 2769.545 | -0.01916
