  freq    |   fit    
----------+----------
 2500.000 | -0.00257
 2500.818 | -0.00262
 2501.636 | -0.00267
 2502.453 | -0.00273
 2503.271 | -0.00278
 2504.089 | -0.00284
 2504.907 | -0.00290
 2505.724 | -0.00296
 2506.542 | -0.00302
 2507.360 | -0.00309
 2508.178 | -0.00316
 2508.995 | -0.00323
 2509.813 | -0.00330
 2510.631 | -0.00338
 2511.449 | -0.00346
 2512.266 | -0.00355
 2513.084 | -0.00364
 2513.902 | -0.00373
 2514.720 | -0.00384
 2515.537 | -0.00394
 2516.355 | -0.00406
 2517.173 | -0.00419
 2517.991 | -0.00433
 2518.808 | -0.00448
 2519.626 | -0.00466
 2520.444 | -0.00486
 2521.262 | -0.00510
 2522.079 | -0.00539
 2522.897 | -0.00575
 2523.715 | -0.00621
 2524.533 | -0.00678
 2525.350 | -0.00743
 2526.168 | -0.00801
 2526.986 | -0.00828
 2527.804 | -0.00815
 2528.621 | -0.00780
 2529.439 | -0.00747
 2530.257 | -0.00724
 2531.075 | -0.00711
 2531.893 | -0.00708
 2532.710 | -0.00712
 2533.528 | -0.00720
 2534.346 | -0.00733
 2535.164 | -0.00748
 2535.981 | -0.00767
 2536.799 | -0.00787
 2537.617 | -0.00809
 2538.435 | -0.00834
 2539.252 | -0.00860
 2540.070 | -0.00888
 2540.888 | -0.00918
 2541.706 | -0.00950
 2542.523 | -0.00985
 2543.341 | -0.01021
 2544.159 | -0.01060
 2544.977 | -0.01101
 2545.794 | -0.01145
 2546.612 | -0.01192
 2547.430 | -0.01241
 2548.248 | -0.01295
 2549.065 | -0.01351
 2549.883 | -0.01412
 2550.701 | -0.01477
 2551.519 | -0.01546
 2552.336 | -0.01621
 2553.154 | -0.01701
 2553.972 | -0.01788
 2554.790 | -0.01881
 2555.607 | -0.01981
 2556.425 | -0.02090
 2557.243 | -0.02208
 2558.061 | -0.02337
 2558.879 | -0.02476
 2559.696 | -0.02629
 2560.514 | -0.02795
 2561.332 | -0.02978
 2562.150 | -0.03180
 2562.967 | -0.03401
 2563.785 | -0.03646
 2564.603 | -0.03919
 2565.421 | -0.04221
 2566.238 | -0.04559
 2567.056 | -0.04938
 2567.874 | -0.05364
 2568.692 | -0.05845
 2569.509 | -0.06390
 2570.327 | -0.07011
 2571.145 | -0.07721
 2571.963 | -0.08536
 2572.780 | -0.09475
 2573.598 | -0.10563
 2574.416 | -0.11828
 2575.234 | -0.13303
 2576.051 | -0.15025
 2576.869 | -0.17041
 2577.687 | -0.19395
 2578.505 | -0.22130
 2579.322 | -0.25267
 2580.140 | -0.28810
 2580.958 | -0.32682
 2581.776 | -0.36712
 2582.593 | -0.40590
 2583.411 | -0.43888
 2584.229 | -0.46109
 2585.047 | -0.46850
 2585.864 | -0.45967
 2586.682 | -0.43631
 2587.500 | -0.40260
 2588.318 | -0.36349
 2589.136 | -0.32323
 2589.953 | -0.28480
 2590.771 | -0.24972
 2591.589 | -0.21868
 2592.407 | -0.19170
 2593.224 | -0.16852
 2594.042 | -0.14864
 2594.860 | -0.13165
 2595.678 | -0.11711
 2596.495 | -0.10465
 2597.313 | -0.09391
 2598.131 | -0.08464
 2598.949 | -0.07660
 2599.766 | -0.06960
 2600.584 | -0.06347
 2601.402 | -0.05808
 2602.220 | -0.05332
 2603.037 | -0.04912
 2603.855 | -0.04537
 2604.673 | -0.04203
 2605.491 | -0.03904
 2606.308 | -0.03635
 2607.126 | -0.03393
 2607.944 | -0.03173
 2608.762 | -0.02975
 2609.579 | -0.02794
 2610.397 | -0.02629
 2611.215 | -0.02479
 2612.033 | -0.02341
 2612.850 | -0.02214
 2613.668 | -0.02098
 2614.486 | -0.01990
 2615.304 | -0.01891
 2616.121 | -0.01800
 2616.939 | -0.01715
 2617.757 | -0.01636
 2618.575 | -0.01562
 2619.393 | -0.01494
 2620.210 | -0.01431
 2621.028 | -0.01372
 2621.846 | -0.01316
 2622.664 | -0.01264
 2623.481 | -0.01216
 2624.299 | -0.01171
 2625.117 | -0.01128
 2625.935 | -0.01089
 2626.752 | -0.01052
 2627.570 | -0.01017
 2628.388 | -0.00984
 2629.206 | -0.00953
 2630.023 | -0.00925
 2630.841 | -0.00898
 2631.659 | -0.00873
 2632.477 | -0.00850
 2633.294 | -0.00828
 2634.112 | -0.00808
 2634.930 | -0.00790
 2635.748 | -0.00773
 2636.565 | -0.00758
 2637.383 | -0.00744
 2638.201 | -0.00732
 2639.019 | -0.00721
 2639.836 | -0.00713
 2640.654 | -0.00706
 2641.472 | -0.00701
 2642.290 | -0.00698
 2643.107 | -0.00697
 2643.925 | -0.00699
 2644.743 | -0.00704
 2645.561 | -0.00711
 2646.379 | -0.00722
 2647.196 | -0.00737
 2648.014 | -0.00755
 2648.832 | -0.00778
 2649.650 | -0.00805
 2650.467 | -0.00836
 2651.285 | -0.00871
 2652.103 | -0.00908
 2652.921 | -0.00944
 2653.738 | -0.00978
 2654.556 | -0.01005
 2655.374 | -0.01022
 2656.192 | -0.01025
 2657.009 | -0.01012
 2657.827 | -0.00986
 2658.645 | -0.00947
 2659.463 | -0.00900
 2660.280 | -0.00848
 2661.098 | -0.00796
 2661.916 | -0.00744
 2662.734 | -0.00695
