alpha_deg	beta_deg	gamma_deg	sse	sum_diff
110.00	21.00	57.00	0.047842885	-0.19719112
110.00	21.00	58.00	0.047817554	-0.19719112
110.00	21.00	59.00	0.047704043	-0.19787539
110.00	21.00	60.00	0.047691259	-0.19924391
110.00	21.00	150.00	0.047691259	-0.19924391
110.00	22.00	51.00	0.046247486	-0.18966424
110.00	22.00	52.00	0.045863443	-0.19103277
110.00	22.00	53.00	0.045627503	-0.19240129
110.00	22.00	54.00	0.045272978	-0.19445408
110.00	22.00	55.00	0.045185441	-0.19513834
110.00	22.00	56.00	0.045069054	-0.19787539
110.00	22.00	57.00	0.044851464	-0.19855965
110.00	22.00	58.00	0.044737098	-0.20061243
110.00	22.00	148.00	0.044737098	-0.20061243
110.00	23.00	51.00	0.043639338	-0.19171703
110.00	23.00	52.00	0.043234598	-0.19240129
110.00	23.00	53.00	0.042825761	-0.19445408
110.00	23.00	54.00	0.042474046	-0.19650686
110.00	23.00	55.00	0.042338303	-0.19787539
110.00	23.00	56.00	0.042297842	-0.19855965
110.00	23.00	57.00	0.042093188	-0.20061243
110.00	23.00	58.00	0.042073427	-0.20198096
110.00	23.00	148.00	0.042073427	-0.20198096
110.00	24.00	56.00	0.039749972	-0.2012967
110.00	24.00	57.00	0.039678707	-0.20266522
110.00	24.00	58.00	0.039671882	-0.20540227
110.00	24.00	59.00	0.039601702	-0.20608653
110.00	24.00	149.00	0.039601702	-0.20608653
110.00	25.00	62.00	0.038028358	-0.21361341
110.00	25.00	152.00	0.038028358	-0.21361341
110.00	26.00	66.00	0.037677629	-0.22045603
110.00	26.00	156.00	0.037677629	-0.22045603
110.00	66.00	11.00	0.03748785	-0.22182456
110.00	66.00	79.00	0.03748785	-0.22182456
110.00	66.00	101.00	0.03748785	-0.22182456
110.00	66.00	169.00	0.03748785	-0.22182456
110.00	114.00	11.00	0.03748785	-0.22182456
110.00	114.00	79.00	0.03748785	-0.22182456
110.00	114.00	101.00	0.03748785	-0.22182456
110.00	114.00	169.00	0.03748785	-0.22182456
111.00	66.00	11.00	0.03748785	-0.22182456
111.00	66.00	79.00	0.03748785	-0.22182456
111.00	66.00	101.00	0.03748785	-0.22182456
111.00	66.00	169.00	0.03748785	-0.22182456
111.00	114.00	11.00	0.03748785	-0.22182456
111.00	114.00	79.00	0.03748785	-0.22182456
111.00	114.00	101.00	0.03748785	-0.22182456
111.00	114.00	169.00	0.03748785	-0.22182456
112.00	66.00	11.00	0.03748785	-0.22182456
112.00	66.00	79.00	0.03748785	-0.22182456
112.00	66.00	101.00	0.03748785	-0.22182456
112.00	66.00	169.00	0.03748785	-0.22182456
112.00	114.00	11.00	0.03748785	-0.22182456
112.00	114.00	79.00	0.03748785	-0.22182456
112.00	114.00	101.00	0.03748785	-0.22182456
112.00	114.00	169.00	0.03748785	-0.22182456
113.00	66.00	11.00	0.03748785	-0.22182456
113.00	66.00	79.00	0.03748785	-0.22182456
113.00	66.00	101.00	0.03748785	-0.22182456
113.00	66.00	169.00	0.03748785	-0.22182456
113.00	114.00	11.00	0.03748785	-0.22182456
113.00	114.00	79.00	0.03748785	-0.22182456
113.00	114.00	101.00	0.03748785	-0.22182456
113.00	114.00	169.00	0.03748785	-0.22182456
114.00	66.00	11.00	0.03748785	-0.22182456
114.00	66.00	79.00	0.03748785	-0.22182456
114.00	66.00	101.00	0.03748785	-0.22182456
114.00	66.00	169.00	0.03748785	-0.22182456
114.00	114.00	11.00	0.03748785	-0.22182456
114.00	114.00	79.00	0.03748785	-0.22182456
114.00	114.00	101.00	0.03748785	-0.22182456
114.00	114.00	169.00	0.03748785	-0.22182456
115.00	66.00	11.00	0.03748785	-0.22182456
115.00	66.00	79.00	0.03748785	-0.22182456
115.00	66.00	101.00	0.03748785	-0.22182456
115.00	66.00	169.00	0.03748785	-0.22182456
115.00	114.00	11.00	0.03748785	-0.22182456
115.00	114.00	79.00	0.03748785	-0.22182456
115.00	114.00	101.00	0.03748785	-0.22182456
115.00	114.00	169.00	0.03748785	-0.22182456
116.00	66.00	11.00	0.03748785	-0.22182456
116.00	66.00	79.00	0.03748785	-0.22182456
116.00	66.00	101.00	0.03748785	-0.22182456
116.00	66.00	169.00	0.03748785	-0.22182456
116.00	114.00	11.00	0.03748785	-0.22182456
116.00	114.00	79.00	0.03748785	-0.22182456
116.00	114.00	101.00	0.03748785	-0.22182456
116.00	114.00	169.00	0.03748785	-0.22182456
117.00	66.00	11.00	0.03748785	-0.22182456
117.00	66.00	79.00	0.03748785	-0.22182456
117.00	66.00	101.00	0.03748785	-0.22182456
117.00	66.00	169.00	0.03748785	-0.22182456
117.00	114.00	11.00	0.03748785	-0.22182456
117.00	114.00	79.00	0.03748785	-0.22182456
117.00	114.00	101.00	0.03748785	-0.22182456
117.00	114.00	169.00	0.03748785	-0.22182456
118.00	66.00	11.00	0.03748785	-0.22182456
118.00	66.00	79.00	0.03748785	-0.22182456
118.00	66.00	101.00	0.03748785	-0.22182456
118.00	66.00	169.00	0.03748785	-0.22182456
