B (tesla)	distanza (mm)	risoluzione GAUSSMETER
0.342	0.1	0.001
0.323	1	0.001
0.299	2	0.001
0.272	3	0.001
0.247	4	0.001
0.219	5	0.001
0.201	6	0.001
0.176	7	0.001
0.16	8	0.001
0.142	9	0.001
0.13	10	0.001
0.114	11	0.001
0.1	    12	0.001
0.091	13	0.001
0.081	14	0.001
0.073	15	0.001
0.043	20	0.001
0.028	25	0.001
0.019	30	0.001
0.013	35	0.001
0.009	40	0.0001
0.0072	45	0.0001
0.0055	50	0.0001
0.0043	55	0.0001
0.0034	60	0.0001
0.0023	70	0.0001
0.0016	80	0.0001
0.0011	90	0.0001
