  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.54338 |  1.54361 |  0.00007
 2500.819 |  1.54402 |  1.54348 |  0.00008
 2501.637 |  1.54317 |  1.54341 |  0.00008
 2502.456 |  1.54305 |  1.54226 |  0.00007
 2503.275 |  1.54236 |  1.54239 |  0.00008
 2504.094 |  1.54175 |  1.54176 |  0.00008
 2504.912 |  1.54230 |  1.54178 |  0.00008
 2505.731 |  1.54120 |  1.54163 |  0.00008
 2506.550 |  1.54203 |  1.54086 |  0.00008
 2507.368 |  1.54143 |  1.54109 |  0.00007
 2508.187 |  1.54138 |  1.53988 |  0.00007
 2509.006 |  1.54138 |  1.53997 |  0.00007
 2509.825 |  1.54104 |  1.53952 |  0.00007
 2510.643 |  1.54106 |  1.53950 |  0.00007
 2511.462 |  1.54027 |  1.53931 |  0.00007
 2512.281 |  1.54024 |  1.53828 |  0.00007
 2513.099 |  1.54026 |  1.53843 |  0.00006
 2513.918 |  1.53950 |  1.53817 |  0.00005
 2514.737 |  1.53981 |  1.53777 |  0.00006
 2515.556 |  1.53934 |  1.53774 |  0.00004
 2516.374 |  1.53960 |  1.53792 |  0.00004
 2517.193 |  1.53903 |  1.53704 |  0.00004
 2518.012 |  1.53956 |  1.53678 |  0.00005
 2518.830 |  1.53950 |  1.53686 |  0.00003
 2519.649 |  1.53890 |  1.53678 |  0.00003
 2520.468 |  1.53936 |  1.53663 |  0.00004
 2521.287 |  1.53916 |  1.53692 |  0.00003
 2522.105 |  1.53885 |  1.53640 |  0.00002
 2522.924 |  1.53906 |  1.53709 |  0.00002
 2523.743 |  1.53873 |  1.53664 |  0.00002
 2524.561 |  1.53859 |  1.53626 |  0.00002
 2525.380 |  1.53822 |  1.53630 |  0.00001
 2526.199 |  1.53774 |  1.53633 | -0.00000
 2527.018 |  1.53784 |  1.53623 | -0.00001
 2527.836 |  1.53814 |  1.53624 | -0.00001
 2528.655 |  1.53874 |  1.53618 | -0.00001
 2529.474 |  1.53857 |  1.53628 | -0.00002
 2530.292 |  1.53864 |  1.53653 | -0.00004
 2531.111 |  1.53839 |  1.53725 | -0.00004
 2531.930 |  1.53814 |  1.53679 | -0.00004
 2532.749 |  1.53872 |  1.53693 | -0.00007
 2533.567 |  1.53804 |  1.53727 | -0.00007
 2534.386 |  1.53875 |  1.53717 | -0.00007
 2535.205 |  1.53841 |  1.53826 | -0.00006
 2536.023 |  1.53872 |  1.53795 | -0.00007
 2536.842 |  1.53923 |  1.53834 | -0.00008
 2537.661 |  1.53917 |  1.53836 | -0.00008
 2538.480 |  1.53948 |  1.53859 | -0.00008
