  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.22848 |  1.24133 | -0.00039
 2500.250 |  1.22849 |  1.24139 | -0.00039
 2500.500 |  1.22834 |  1.24161 | -0.00038
 2500.750 |  1.22856 |  1.24166 | -0.00038
 2501.000 |  1.22805 |  1.24194 | -0.00039
 2501.250 |  1.22807 |  1.24210 | -0.00038
 2501.500 |  1.22792 |  1.24241 | -0.00039
 2501.750 |  1.22869 |  1.24258 | -0.00038
 2502.000 |  1.22813 |  1.24301 | -0.00039
 2502.250 |  1.22792 |  1.24258 | -0.00038
 2502.500 |  1.22812 |  1.24250 | -0.00039
 2502.750 |  1.22771 |  1.24269 | -0.00039
 2503.000 |  1.22744 |  1.24295 | -0.00039
 2503.250 |  1.22759 |  1.24276 | -0.00039
 2503.500 |  1.22758 |  1.24310 | -0.00039
 2503.750 |  1.22721 |  1.24303 | -0.00038
 2504.000 |  1.22748 |  1.24282 | -0.00039
 2504.250 |  1.22784 |  1.24276 | -0.00039
 2504.500 |  1.22768 |  1.24308 | -0.00039
 2504.750 |  1.22776 |  1.24271 | -0.00039
 2505.000 |  1.22742 |  1.24241 | -0.00040
 2505.250 |  1.22714 |  1.24267 | -0.00039
 2505.500 |  1.22776 |  1.24229 | -0.00039
 2505.750 |  1.22747 |  1.24217 | -0.00040
 2506.000 |  1.22751 |  1.24197 | -0.00040
 2506.250 |  1.22693 |  1.24195 | -0.00040
 2506.500 |  1.22655 |  1.24167 | -0.00040
 2506.750 |  1.22700 |  1.24180 | -0.00040
 2507.000 |  1.22704 |  1.24204 | -0.00040
 2507.250 |  1.22710 |  1.24147 | -0.00040
 2507.500 |  1.22703 |  1.24169 | -0.00041
 2507.750 |  1.22728 |  1.24152 | -0.00041
 2508.000 |  1.22692 |  1.24148 | -0.00040
 2508.250 |  1.22713 |  1.24089 | -0.00039
 2508.500 |  1.22699 |  1.24055 | -0.00039
 2508.750 |  1.22702 |  1.24065 | -0.00039
 2509.000 |  1.22660 |  1.24050 | -0.00039
 2509.250 |  1.22634 |  1.24025 | -0.00039
 2509.500 |  1.22694 |  1.24022 | -0.00039
 2509.750 |  1.22631 |  1.24059 | -0.00039
 2510.000 |  1.22630 |  1.24080 | -0.00039
 2510.250 |  1.22618 |  1.23997 | -0.00039
 2510.500 |  1.22588 |  1.24042 | -0.00038
 2510.750 |  1.22566 |  1.23984 | -0.00038
 2511.000 |  1.22605 |  1.24010 | -0.00038
 2511.250 |  1.22622 |  1.23985 | -0.00038
 2511.500 |  1.22610 |  1.23966 | -0.00038
 2511.750 |  1.22601 |  1.23954 | -0.00038
 2512.000 |  1.22627 |  1.23943 | -0.00039
 2512.250 |  1.22571 |  1.23954 | -0.00039
 2512.500 |  1.22576 |  1.23908 | -0.00039
 2512.750 |  1.22612 |  1.23938 | -0.00038
 2513.000 |  1.22551 |  1.23868 | -0.00039
 2513.250 |  1.22556 |  1.23884 | -0.00039
 2513.500 |  1.22542 |  1.23906 | -0.00038
 2513.750 |  1.22564 |  1.23840 | -0.00039
 2514.000 |  1.22547 |  1.23896 | -0.00039
 2514.250 |  1.22520 |  1.23913 | -0.00039
 2514.500 |  1.22549 |  1.23848 | -0.00039
 2514.750 |  1.22516 |  1.23905 | -0.00039
 2515.000 |  1.22562 |  1.23868 | -0.00039
 2515.250 |  1.22546 |  1.23859 | -0.00039
 2515.500 |  1.22574 |  1.23828 | -0.00040
 2515.750 |  1.22543 |  1.23879 | -0.00039
 2516.000 |  1.22527 |  1.23844 | -0.00039
 2516.250 |  1.22559 |  1.23830 | -0.00040
 2516.500 |  1.22543 |  1.23862 | -0.00039
 2516.750 |  1.22551 |  1.23826 | -0.00040
 2517.000 |  1.22538 |  1.23822 | -0.00039
 2517.250 |  1.22527 |  1.23803 | -0.00039
 2517.500 |  1.22568 |  1.23811 | -0.00041
 2517.750 |  1.22557 |  1.23812 | -0.00039
 2518.000 |  1.22588 |  1.23782 | -0.00039
 2518.250 |  1.22537 |  1.23779 | -0.00040
 2518.500 |  1.22557 |  1.23763 | -0.00042
 2518.750 |  1.22572 |  1.23752 | -0.00039
 2519.000 |  1.22565 |  1.23745 | -0.00041
 2519.250 |  1.22578 |  1.23713 | -0.00042
 2519.500 |  1.22574 |  1.23709 | -0.00040
 2519.750 |  1.22585 |  1.23684 | -0.00039
 2520.000 |  1.22542 |  1.23705 | -0.00042
 2520.250 |  1.22553 |  1.23707 | -0.00041
 2520.500 |  1.22591 |  1.23704 | -0.00041
 2520.750 |  1.22612 |  1.23707 | -0.00041
 2521.000 |  1.22654 |  1.23662 | -0.00043
 2521.250 |  1.22660 |  1.23690 | -0.00044
 2521.500 |  1.22662 |  1.23695 | -0.00044
 2521.750 |  1.22662 |  1.23702 | -0.00049
 2522.000 |  1.22662 |  1.23616 | -0.00052
 2522.250 |  1.22708 |  1.23620 | -0.00053
 2522.500 |  1.22688 |  1.23583 | -0.00054
 2522.750 |  1.22762 |  1.23611 | -0.00062
 2523.000 |  1.22711 |  1.23580 | -0.00067
 2523.250 |  1.22749 |  1.23565 | -0.00073
 2523.500 |  1.22710 |  1.23525 | -0.00084
 2523.750 |  1.22685 |  1.23497 | -0.00099
 2524.000 |  1.22752 |  1.23368 | -0.00116
 2524.250 |  1.22657 |  1.23240 | -0.00143
 2524.500 |  1.22689 |  1.23137 | -0.00144
 2524.750 |  1.22535 |  1.23055 | -0.00135
 2525.000 |  1.22435 |  1.23050 | -0.00124
 2525.250 |  1.22391 |  1.23019 | -0.00111
 2525.500 |  1.22362 |  1.23014 | -0.00095
 2525.750 |  1.22378 |  1.23044 | -0.00069
 2526.000 |  1.22297 |  1.23050 | -0.00036
 2526.250 |  1.22310 |  1.23112 | -0.00004
 2526.500 |  1.22332 |  1.23125 |  0.00023
 2526.750 |  1.22358 |  1.23208 |  0.00044
 2527.000 |  1.22377 |  1.23294 |  0.00059
 2527.250 |  1.22491 |  1.23331 |  0.00067
 2527.500 |  1.22516 |  1.23381 |  0.00063
 2527.750 |  1.22563 |  1.23452 |  0.00054
 2528.000 |  1.22602 |  1.23571 |  0.00039
 2528.250 |  1.22663 |  1.23632 |  0.00025
 2528.500 |  1.22716 |  1.23702 |  0.00014
 2528.750 |  1.22721 |  1.23706 |  0.00006
 2529.000 |  1.22777 |  1.23738 | -0.00004
 2529.250 |  1.22794 |  1.23833 | -0.00008
 2529.500 |  1.22809 |  1.23844 | -0.00011
 2529.750 |  1.22827 |  1.23935 | -0.00018
 2530.000 |  1.22840 |  1.23877 | -0.00022
 2530.250 |  1.22904 |  1.23978 | -0.00024
 2530.500 |  1.22842 |  1.23959 | -0.00025
 2530.750 |  1.22867 |  1.23998 | -0.00027
 2531.000 |  1.22821 |  1.24024 | -0.00030
 2531.250 |  1.22868 |  1.24045 | -0.00031
 2531.500 |  1.22856 |  1.24150 | -0.00035
 2531.750 |  1.22891 |  1.24176 | -0.00035
 2532.000 |  1.22888 |  1.24231 | -0.00035
 2532.250 |  1.22834 |  1.24254 | -0.00036
 2532.500 |  1.22880 |  1.24198 | -0.00037
 2532.750 |  1.22859 |  1.24206 | -0.00036
 2533.000 |  1.22895 |  1.24182 | -0.00037
 2533.250 |  1.22875 |  1.24155 | -0.00037
 2533.500 |  1.22846 |  1.24194 | -0.00038
 2533.750 |  1.22801 |  1.24186 | -0.00037
 2534.000 |  1.22790 |  1.24190 | -0.00038
 2534.250 |  1.22807 |  1.24229 | -0.00038
 2534.500 |  1.22783 |  1.24204 | -0.00038
 2534.750 |  1.22815 |  1.24184 | -0.00038
 2535.000 |  1.22817 |  1.24170 | -0.00039
 2535.250 |  1.22806 |  1.24194 | -0.00039
 2535.500 |  1.22801 |  1.24178 | -0.00039
 2535.750 |  1.22778 |  1.24090 | -0.00038
 2536.000 |  1.22803 |  1.24104 | -0.00038
 2536.250 |  1.22771 |  1.24097 | -0.00038
 2536.500 |  1.22808 |  1.24111 | -0.00038
 2536.750 |  1.22773 |  1.24083 | -0.00038
 2537.000 |  1.22757 |  1.24106 | -0.00038
 2537.250 |  1.22757 |  1.24127 | -0.00038
 2537.500 |  1.22740 |  1.24097 | -0.00038
 2537.750 |  1.22731 |  1.24113 | -0.00038
 2538.000 |  1.22722 |  1.24042 | -0.00038
 2538.250 |  1.22706 |  1.24111 | -0.00038
 2538.500 |  1.22738 |  1.24013 | -0.00038
 2538.750 |  1.22693 |  1.24102 | -0.00038
 2539.000 |  1.22727 |  1.24038 | -0.00038
 2539.250 |  1.22670 |  1.24006 | -0.00038
 2539.500 |  1.22700 |  1.24066 | -0.00038
 2539.750 |  1.22674 |  1.24011 | -0.00039
 2540.000 |  1.22692 |  1.24026 | -0.00039
 2540.250 |  1.22659 |  1.23960 | -0.00038
 2540.500 |  1.22642 |  1.23994 | -0.00038
 2540.750 |  1.22708 |  1.23968 | -0.00039
 2541.000 |  1.22647 |  1.23949 | -0.00039
 2541.250 |  1.22668 |  1.23972 | -0.00038
 2541.500 |  1.22605 |  1.23935 | -0.00038
 2541.750 |  1.22644 |  1.23973 | -0.00039
 2542.000 |  1.22659 |  1.23951 | -0.00038
 2542.250 |  1.22622 |  1.23931 | -0.00038
 2542.500 |  1.22642 |  1.23973 | -0.00039
 2542.750 |  1.22604 |  1.23890 | -0.00039
 2543.000 |  1.22608 |  1.23926 | -0.00038
 2543.250 |  1.22603 |  1.23860 | -0.00039
 2543.500 |  1.22598 |  1.23898 | -0.00039
 2543.750 |  1.22645 |  1.23890 | -0.00039
 2544.000 |  1.22576 |  1.23873 | -0.00038
 2544.250 |  1.22606 |  1.23931 | -0.00039
 2544.500 |  1.22565 |  1.23874 | -0.00039
 2544.750 |  1.22591 |  1.23895 | -0.00039
 2545.000 |  1.22566 |  1.23866 | -0.00040
 2545.250 |  1.22591 |  1.23862 | -0.00040
 2545.500 |  1.22610 |  1.23870 | -0.00040
 2545.750 |  1.22574 |  1.23818 | -0.00040
 2546.000 |  1.22592 |  1.23823 | -0.00040
 2546.250 |  1.22580 |  1.23830 | -0.00040
 2546.500 |  1.22575 |  1.23850 | -0.00039
 2546.750 |  1.22555 |  1.23826 | -0.00039
 2547.000 |  1.22582 |  1.23825 | -0.00040
 2547.250 |  1.22573 |  1.23842 | -0.00039
 2547.500 |  1.22457 |  1.23780 | -0.00039
 2547.750 |  1.22505 |  1.23830 | -0.00039
 2548.000 |  1.22507 |  1.23813 | -0.00039
 2548.250 |  1.22518 |  1.23822 | -0.00038
 2548.500 |  1.22505 |  1.23784 | -0.00038
 2548.750 |  1.22509 |  1.23794 | -0.00038
 2549.000 |  1.22508 |  1.23798 | -0.00038
 2549.250 |  1.22518 |  1.23767 | -0.00037
