  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.10388 |  1.27125 | -0.00006
 2500.817 |  1.10318 |  1.27174 | -0.00006
 2501.634 |  1.10318 |  1.27153 | -0.00006
 2502.450 |  1.10302 |  1.27147 | -0.00006
 2503.267 |  1.10184 |  1.27168 | -0.00006
 2504.084 |  1.10224 |  1.27162 | -0.00006
 2504.901 |  1.10180 |  1.27206 | -0.00006
 2505.718 |  1.10222 |  1.27186 | -0.00007
 2506.534 |  1.10189 |  1.27214 | -0.00006
 2507.351 |  1.10190 |  1.27250 | -0.00005
 2508.168 |  1.10235 |  1.27229 | -0.00007
 2508.985 |  1.10136 |  1.27292 | -0.00007
 2509.802 |  1.10231 |  1.27327 | -0.00006
 2510.618 |  1.10201 |  1.27374 | -0.00006
 2511.435 |  1.10218 |  1.27390 | -0.00006
 2512.252 |  1.10153 |  1.27428 | -0.00006
 2513.069 |  1.10136 |  1.27471 | -0.00006
 2513.886 |  1.10177 |  1.27460 | -0.00007
 2514.702 |  1.10158 |  1.27502 | -0.00007
 2515.519 |  1.10211 |  1.27545 | -0.00006
 2516.336 |  1.10173 |  1.27550 | -0.00006
 2517.153 |  1.10170 |  1.27581 | -0.00007
 2517.970 |  1.10208 |  1.27640 | -0.00006
 2518.786 |  1.10217 |  1.27637 | -0.00006
 2519.603 |  1.10291 |  1.27655 | -0.00006
 2520.420 |  1.10379 |  1.27634 | -0.00006
 2521.237 |  1.10307 |  1.27615 | -0.00005
 2522.054 |  1.10348 |  1.27602 | -0.00005
 2522.870 |  1.10374 |  1.27552 | -0.00007
 2523.687 |  1.10333 |  1.27590 | -0.00006
 2524.504 |  1.10345 |  1.27570 | -0.00006
 2525.321 |  1.10332 |  1.27610 | -0.00006
 2526.138 |  1.10351 |  1.27549 | -0.00006
 2526.954 |  1.10399 |  1.27578 | -0.00006
 2527.771 |  1.10407 |  1.27549 | -0.00006
 2528.588 |  1.10345 |  1.27514 | -0.00006
 2529.405 |  1.10365 |  1.27539 | -0.00006
 2530.222 |  1.10359 |  1.27464 | -0.00006
 2531.039 |  1.10336 |  1.27464 | -0.00007
 2531.855 |  1.10290 |  1.27477 | -0.00006
 2532.672 |  1.10327 |  1.27476 | -0.00006
 2533.489 |  1.10211 |  1.27428 | -0.00007
 2534.306 |  1.10223 |  1.27450 | -0.00007
 2535.123 |  1.10245 |  1.27431 | -0.00005
 2535.939 |  1.10174 |  1.27392 | -0.00006
 2536.756 |  1.10245 |  1.27382 | -0.00006
 2537.573 |  1.10214 |  1.27384 | -0.00006
 2538.390 |  1.10357 |  1.27374 | -0.00005
 2539.207 |  1.10353 |  1.27381 | -0.00006
 2540.023 |  1.10339 |  1.27375 | -0.00007
 2540.840 |  1.10357 |  1.27354 | -0.00006
 2541.657 |  1.10413 |  1.27378 | -0.00006
 2542.474 |  1.10358 |  1.27397 | -0.00005
 2543.291 |  1.10383 |  1.27426 | -0.00006
 2544.107 |  1.10404 |  1.27473 | -0.00006
 2544.924 |  1.10364 |  1.27461 | -0.00007
 2545.741 |  1.10403 |  1.27484 | -0.00006
 2546.558 |  1.10399 |  1.27494 | -0.00005
 2547.375 |  1.10412 |  1.27504 | -0.00006
 2548.191 |  1.10402 |  1.27519 | -0.00006
 2549.008 |  1.10400 |  1.27545 | -0.00006
 2549.825 |  1.10427 |  1.27620 | -0.00006
 2550.642 |  1.10387 |  1.27618 | -0.00006
 2551.459 |  1.10374 |  1.27695 | -0.00006
 2552.275 |  1.10419 |  1.27672 | -0.00006
 2553.092 |  1.10388 |  1.27733 | -0.00006
 2553.909 |  1.10423 |  1.27756 | -0.00006
 2554.726 |  1.10427 |  1.27731 | -0.00006
 2555.543 |  1.10393 |  1.27784 | -0.00006
 2556.359 |  1.10347 |  1.27794 | -0.00007
 2557.176 |  1.10339 |  1.27853 | -0.00006
 2557.993 |  1.10357 |  1.27824 | -0.00006
 2558.810 |  1.10347 |  1.27815 | -0.00007
 2559.627 |  1.10333 |  1.27845 | -0.00007
 2560.443 |  1.10389 |  1.27844 | -0.00007
 2561.260 |  1.10456 |  1.27859 | -0.00007
 2562.077 |  1.10426 |  1.27880 | -0.00006
 2562.894 |  1.10406 |  1.27900 | -0.00006
 2563.711 |  1.10390 |  1.27890 | -0.00006
 2564.527 |  1.10402 |  1.27890 | -0.00006
 2565.344 |  1.10383 |  1.27871 | -0.00007
 2566.161 |  1.10405 |  1.27883 | -0.00006
 2566.978 |  1.10427 |  1.27855 | -0.00006
 2567.795 |  1.10379 |  1.27866 | -0.00006
 2568.611 |  1.10358 |  1.27879 | -0.00007
 2569.428 |  1.10348 |  1.27831 | -0.00007
 2570.245 |  1.10392 |  1.27806 | -0.00006
 2571.062 |  1.10342 |  1.27800 | -0.00006
 2571.879 |  1.10383 |  1.27785 | -0.00006
 2572.695 |  1.10374 |  1.27786 | -0.00006
 2573.512 |  1.10362 |  1.27801 | -0.00006
 2574.329 |  1.10400 |  1.27783 | -0.00005
 2575.146 |  1.10299 |  1.27810 | -0.00006
 2575.963 |  1.10355 |  1.27807 | -0.00006
 2576.779 |  1.10294 |  1.27813 | -0.00005
 2577.596 |  1.10313 |  1.27791 | -0.00006
 2578.413 |  1.10315 |  1.27830 | -0.00006
 2579.230 |  1.10305 |  1.27851 | -0.00006
 2580.047 |  1.10331 |  1.27782 | -0.00006
 2580.863 |  1.10310 |  1.27745 | -0.00006
 2581.680 |  1.10332 |  1.27775 | -0.00006
 2582.497 |  1.10299 |  1.27769 | -0.00005
 2583.314 |  1.10292 |  1.27744 | -0.00006
 2584.131 |  1.10291 |  1.27725 | -0.00006
 2584.947 |  1.10273 |  1.27747 | -0.00006
