  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.30388 | -0.10731 | -0.09350
 2500.815 |  1.30351 | -0.08542 | -0.08943
 2501.630 |  1.30280 | -0.11290 | -0.09350
 2502.445 |  1.30339 | -0.08045 | -0.09350
 2503.260 |  1.30274 | -0.08880 | -0.09350
 2504.075 |  1.30340 | -0.08990 | -0.09350
 2504.889 |  1.30286 | -0.09361 | -0.09350
 2505.704 |  1.30227 | -0.09796 | -0.09350
 2506.519 |  1.30251 | -0.09111 | -0.09350
 2507.334 |  1.30180 | -0.10993 | -0.08943
 2508.149 |  1.30214 | -0.07737 | -0.09350
 2508.964 |  1.30185 | -0.10603 | -0.09350
 2509.779 |  1.30194 | -0.07673 | -0.09350
 2510.594 |  1.30195 | -0.08824 | -0.09350
 2511.409 |  1.30213 | -0.09117 | -0.09350
 2512.224 |  1.30173 | -0.04932 | -0.09350
 2513.038 |  1.30174 | -0.08054 | -0.09350
 2513.853 |  1.30160 | -0.05973 | -0.09350
 2514.668 |  1.30150 | -0.06063 | -0.09756
 2515.483 |  1.30186 | -0.05756 | -0.08943
 2516.298 |  1.30321 | -0.06634 | -0.09350
 2517.113 |  1.30206 | -0.07970 | -0.09350
 2517.928 |  1.30088 | -0.03248 | -0.09350
 2518.743 |  1.30246 | -0.05240 | -0.09350
 2519.558 |  1.30508 | -0.05124 | -0.09350
 2520.373 |  1.30409 | -0.05402 | -0.09350
 2521.187 |  1.30159 | -0.05151 | -0.09350
 2522.002 |  1.30082 | -0.06018 | -0.09350
 2522.817 |  1.30072 | -0.05896 | -0.09350
 2523.632 |  1.30071 | -0.04982 | -0.09350
 2524.447 |  1.30090 | -0.08940 | -0.08943
 2525.262 |  1.30111 | -0.08748 | -0.09350
 2526.077 |  1.30050 | -0.06052 | -0.09350
 2526.892 |  1.30100 | -0.06384 | -0.09350
 2527.707 |  1.30056 | -0.03027 | -0.09350
 2528.522 |  1.30090 | -0.06056 | -0.09350
 2529.336 |  1.30077 | -0.10663 | -0.09350
 2530.151 |  1.30103 | -0.15729 | -0.09350
 2530.966 |  1.30098 | -0.14408 | -0.09350
 2531.781 |  1.30114 | -0.12032 | -0.09756
 2532.596 |  1.30157 | -0.13210 | -0.08943
 2533.411 |  1.30114 | -0.11621 | -0.09350
 2534.226 |  1.30180 | -0.14311 | -0.09350
 2535.041 |  1.30108 | -0.12851 | -0.09350
 2535.856 |  1.30162 | -0.13365 | -0.09350
 2536.671 |  1.30159 | -0.12297 | -0.09350
 2537.485 |  1.30154 | -0.11755 | -0.09350
 2538.300 |  1.30260 | -0.13186 | -0.09350
 2539.115 |  1.30206 | -0.12707 | -0.09350
 2539.930 |  1.30296 | -0.13478 | -0.09350
 2540.745 |  1.30249 | -0.15630 | -0.09756
 2541.560 |  1.30308 | -0.11130 | -0.09756
 2542.375 |  1.30356 | -0.04655 | -0.09350
 2543.190 |  1.30403 |  0.00901 | -0.09350
 2544.005 |  1.30513 | -0.04340 | -0.09350
 2544.820 |  1.30526 | -0.00889 | -0.09350
 2545.634 |  1.30602 | -0.00267 | -0.09350
 2546.449 |  1.30648 |  0.00356 | -0.09350
 2547.264 |  1.30715 |  0.00388 | -0.08943
 2548.079 |  1.30824 | -0.00238 | -0.09350
 2548.894 |  1.30849 |  0.03944 | -0.09350
 2549.709 |  1.30921 | -0.02077 | -0.08943
 2550.524 |  1.30935 |  0.03358 | -0.08943
 2551.339 |  1.30948 |  0.01092 | -0.09756
 2552.154 |  1.31040 |  0.00407 | -0.09350
 2552.969 |  1.31055 |  0.04728 | -0.09350
 2553.783 |  1.31107 |  0.02861 | -0.09350
 2554.598 |  1.31139 |  0.07184 | -0.09350
 2555.413 |  1.31130 |  0.04792 | -0.09350
 2556.228 |  1.31113 |  0.07735 | -0.09350
 2557.043 |  1.31147 |  0.08112 | -0.09350
 2557.858 |  1.31110 |  0.07238 | -0.09350
 2558.673 |  1.31148 |  0.06827 | -0.09350
 2559.488 |  1.31041 |  0.06022 | -0.09350
 2560.303 |  1.31092 |  0.09564 | -0.09350
 2561.118 |  1.31015 |  0.08498 | -0.09350
 2561.932 |  1.31052 |  0.09739 | -0.09350
 2562.747 |  1.31055 |  0.10585 | -0.09350
 2563.562 |  1.31082 |  0.10115 | -0.09350
 2564.377 |  1.31056 |  0.11227 | -0.08943
 2565.192 |  1.30984 |  0.12406 | -0.09350
 2566.007 |  1.30943 |  0.12204 | -0.09350
 2566.822 |  1.30913 |  0.11674 | -0.09350
 2567.637 |  1.30937 |  0.11935 | -0.09350
 2568.452 |  1.30980 |  0.11473 | -0.09350
 2569.267 |  1.30818 |  0.10749 | -0.08943
 2570.081 |  1.30937 |  0.12791 | -0.08943
 2570.896 |  1.30852 |  0.13913 | -0.08943
 2571.711 |  1.30908 |  0.15695 | -0.09350
 2572.526 |  1.30841 |  0.15897 | -0.09350
 2573.341 |  1.30911 |  0.15772 | -0.08943
 2574.156 |  1.30863 |  0.15977 | -0.09350
 2574.971 |  1.30835 |  0.15788 | -0.09350
 2575.786 |  1.30839 |  0.15271 | -0.08943
 2576.601 |  1.30651 |  0.15348 | -0.09350
 2577.416 |  1.30668 |  0.15360 | -0.09350
 2578.231 |  1.30650 |  0.16690 | -0.09756
 2579.045 |  1.30619 |  0.17166 | -0.09350
 2579.860 |  1.30632 |  0.16326 | -0.08943
 2580.675 |  1.30499 |  0.16738 | -0.09350
 2581.490 |  1.30586 |  0.18138 | -0.09350
 2582.305 |  1.30526 |  0.17565 | -0.08943
 2583.120 |  1.30613 |  0.15742 | -0.08943
 2583.935 |  1.30480 |  0.15632 | -0.09350
 2584.750 |  1.30497 |  0.17695 | -0.09350
 2585.565 |  1.30523 |  0.17127 | -0.08943
 2586.380 |  1.30672 |  0.17810 | -0.09350
 2587.194 |  1.30786 |  0.17902 | -0.09350
 2588.009 |  1.30733 |  0.15494 | -0.09350
 2588.824 |  1.30693 |  0.15785 | -0.09350
 2589.639 |  1.30640 |  0.16210 | -0.08943
 2590.454 |  1.30658 |  0.16636 | -0.08943
 2591.269 |  1.30595 |  0.14890 | -0.08943
 2592.084 |  1.30554 |  0.14199 | -0.09350
 2592.899 |  1.30604 |  0.14562 | -0.08943
 2593.714 |  1.30592 |  0.14004 | -0.09350
 2594.529 |  1.30572 |  0.12197 | -0.09350
 2595.343 |  1.30567 |  0.15132 | -0.09350
 2596.158 |  1.30564 |  0.13853 | -0.09350
 2596.973 |  1.30597 |  0.13037 | -0.09350
 2597.788 |  1.30571 |  0.13275 | -0.09350
 2598.603 |  1.30605 |  0.14305 | -0.08943
 2599.418 |  1.30568 |  0.13952 | -0.08943
 2600.233 |  1.30539 |  0.10375 | -0.09350
 2601.048 |  1.30563 |  0.10157 | -0.09350
 2601.863 |  1.30506 |  0.07635 | -0.09350
 2602.678 |  1.30470 |  0.01889 | -0.09756
 2603.492 |  1.30507 |  0.04768 | -0.09350
 2604.307 |  1.30637 |  0.02645 | -0.09350
 2605.122 |  1.30630 |  0.02893 | -0.08943
 2605.937 |  1.30664 |  0.03207 | -0.09350
 2606.752 |  1.30619 |  0.01680 | -0.09350
 2607.567 |  1.30646 | -0.00242 | -0.09350
 2608.382 |  1.30604 | -0.00451 | -0.08943
 2609.197 |  1.30622 | -0.01185 | -0.09350
 2610.012 |  1.30622 | -0.01063 | -0.09350
 2610.827 |  1.30627 | -0.00083 | -0.08943
 2611.641 |  1.30696 | -0.01539 | -0.09350
 2612.456 |  1.30704 |  0.00562 | -0.09350
 2613.271 |  1.30809 | -0.03788 | -0.09350
 2614.086 |  1.30727 | -0.03595 | -0.08943
 2614.901 |  1.30789 | -0.04125 | -0.08943
 2615.716 |  1.30807 | -0.02744 | -0.09350
 2616.531 |  1.30821 | -0.02152 | -0.09350
 2617.346 |  1.30931 | -0.00901 | -0.09350
 2618.161 |  1.30888 | -0.00110 | -0.09350
 2618.976 |  1.31009 | -0.01689 | -0.09350
 2619.790 |  1.31016 | -0.03200 | -0.08943
 2620.605 |  1.31115 | -0.02932 | -0.09350
 2621.420 |  1.31144 | -0.03849 | -0.09350
 2622.235 |  1.31167 | -0.05292 | -0.09350
 2623.050 |  1.31298 | -0.06141 | -0.09350
 2623.865 |  1.31277 | -0.04223 | -0.09350
