  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.54338 |  0.09625 |  0.02846
 2500.819 |  1.54402 |  0.09141 |  0.03252
 2501.637 |  1.54317 |  0.09049 |  0.03252
 2502.456 |  1.54305 |  0.01847 |  0.02846
 2503.275 |  1.54236 |  0.03070 |  0.03252
 2504.094 |  1.54175 | -0.00712 |  0.03252
 2504.912 |  1.54230 | -0.00215 |  0.03252
 2505.731 |  1.54120 | -0.00839 |  0.03252
 2506.550 |  1.54203 | -0.05546 |  0.03252
 2507.368 |  1.54143 | -0.03671 |  0.02846
 2508.187 |  1.54138 | -0.11278 |  0.02846
 2509.006 |  1.54138 | -0.10327 |  0.02846
 2509.825 |  1.54104 | -0.12932 |  0.02846
 2510.643 |  1.54106 | -0.12708 |  0.02846
 2511.462 |  1.54027 | -0.13604 |  0.02846
 2512.281 |  1.54024 | -0.20032 |  0.02846
 2513.099 |  1.54026 | -0.18692 |  0.02439
 2513.918 |  1.53950 | -0.20052 |  0.02033
 2514.737 |  1.53981 | -0.22336 |  0.02439
 2515.556 |  1.53934 | -0.22185 |  0.01626
 2516.374 |  1.53960 | -0.20653 |  0.01626
 2517.193 |  1.53903 | -0.26100 |  0.01626
 2518.012 |  1.53956 | -0.27467 |  0.02033
 2518.830 |  1.53950 | -0.26597 |  0.01220
 2519.649 |  1.53890 | -0.26781 |  0.01220
 2520.468 |  1.53936 | -0.27427 |  0.01626
 2521.287 |  1.53916 | -0.25177 |  0.01220
 2522.105 |  1.53885 | -0.28262 |  0.00813
 2522.924 |  1.53906 | -0.23382 |  0.00813
 2523.743 |  1.53873 | -0.26008 |  0.00813
 2524.561 |  1.53859 | -0.28175 |  0.00813
 2525.380 |  1.53822 | -0.27578 |  0.00407
 2526.199 |  1.53774 | -0.27047 | -0.00000
 2527.018 |  1.53784 | -0.27374 | -0.00407
 2527.836 |  1.53814 | -0.26978 | -0.00407
 2528.655 |  1.53874 | -0.27044 | -0.00407
 2529.474 |  1.53857 | -0.26058 | -0.00813
 2530.292 |  1.53864 | -0.24085 | -0.01626
 2531.111 |  1.53839 | -0.19019 | -0.01626
 2531.930 |  1.53814 | -0.21723 | -0.01626
 2532.749 |  1.53872 | -0.20478 | -0.02846
 2533.567 |  1.53804 | -0.17918 | -0.02846
 2534.386 |  1.53875 | -0.18256 | -0.02846
 2535.205 |  1.53841 | -0.10760 | -0.02439
 2536.023 |  1.53872 | -0.12483 | -0.02846
 2536.842 |  1.53923 | -0.09598 | -0.03252
 2537.661 |  1.53917 | -0.09150 | -0.03252
 2538.480 |  1.53948 | -0.07321 | -0.03252
 2539.298 |  1.53883 | -0.02794 | -0.03252
 2540.117 |  1.53968 | -0.05708 | -0.03252
 2540.936 |  1.54044 |  0.05599 | -0.03659
 2541.754 |  1.54037 |  0.01695 | -0.03252
 2542.573 |  1.54091 |  0.02662 | -0.03252
 2543.392 |  1.54072 |  0.05603 | -0.03252
 2544.211 |  1.54150 |  0.09860 | -0.03252
 2545.029 |  1.54125 |  0.14444 | -0.03252
 2545.848 |  1.54197 |  0.13498 | -0.03252
 2546.667 |  1.54170 |  0.18936 | -0.03252
 2547.485 |  1.54158 |  0.20949 | -0.03252
 2548.304 |  1.54223 |  0.19933 | -0.02846
 2549.123 |  1.54230 |  0.24380 | -0.02033
