  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.21260 |  0.24636 | -0.09756
 2500.811 |  1.21257 |  0.17356 | -0.09756
 2501.622 |  1.21233 |  0.14028 | -0.09756
 2502.433 |  1.21238 |  0.15637 | -0.09756
 2503.244 |  1.21249 |  0.09346 | -0.09756
 2504.056 |  1.21296 |  0.09770 | -0.09756
 2504.867 |  1.21206 |  0.09075 | -0.09756
 2505.678 |  1.21271 |  0.10422 | -0.09756
 2506.489 |  1.21251 |  0.06632 | -0.08943
 2507.300 |  1.21219 |  0.01987 | -0.08943
 2508.111 |  1.21316 |  0.04453 | -0.08943
 2508.922 |  1.21459 | -0.01772 | -0.09350
 2509.733 |  1.21467 |  0.00628 | -0.09756
 2510.545 |  1.21463 | -0.03688 | -0.09756
 2511.356 |  1.21455 | -0.00300 | -0.09756
 2512.167 |  1.21677 | -0.03101 | -0.09756
 2512.978 |  1.21579 | -0.06297 | -0.09756
 2513.789 |  1.21765 | -0.02976 | -0.09756
 2514.600 |  1.21728 | -0.10188 | -0.09756
 2515.411 |  1.21888 | -0.08380 | -0.09756
 2516.222 |  1.21867 | -0.06309 | -0.09756
 2517.034 |  1.21978 | -0.12468 | -0.09756
 2517.845 |  1.22165 | -0.10725 | -0.09756
 2518.656 |  1.22216 | -0.16950 | -0.09756
 2519.467 |  1.22346 | -0.11981 | -0.09756
 2520.278 |  1.22384 | -0.12675 | -0.09756
 2521.089 |  1.22385 | -0.12974 | -0.09756
 2521.900 |  1.22442 | -0.15313 | -0.09756
 2522.711 |  1.22483 | -0.17126 | -0.09756
 2523.523 |  1.22502 | -0.16766 | -0.09756
 2524.334 |  1.22557 | -0.19303 | -0.09756
 2525.145 |  1.22508 | -0.18022 | -0.09756
 2525.956 |  1.22523 | -0.23587 | -0.09350
 2526.767 |  1.22523 | -0.22700 | -0.09756
 2527.578 |  1.22557 | -0.27541 | -0.09756
 2528.389 |  1.22500 | -0.25667 | -0.09756
 2529.200 |  1.22466 | -0.27084 | -0.09350
 2530.012 |  1.22087 | -0.24485 | -0.09350
 2530.823 |  1.22190 | -0.23861 | -0.09756
 2531.634 |  1.22462 | -0.23896 | -0.09350
 2532.445 |  1.22376 | -0.27617 | -0.09350
 2533.256 |  1.22372 | -0.27323 | -0.09756
 2534.067 |  1.22403 | -0.26764 | -0.09350
 2534.878 |  1.22313 | -0.33448 | -0.09350
 2535.689 |  1.22334 | -0.27294 | -0.09350
 2536.501 |  1.22245 | -0.28250 | -0.09756
 2537.312 |  1.22295 | -0.24860 | -0.09350
 2538.123 |  1.22199 | -0.23183 | -0.09350
 2538.934 |  1.22187 | -0.24270 | -0.09350
 2539.745 |  1.22193 | -0.25818 | -0.09350
 2540.556 |  1.22160 | -0.27630 | -0.09350
 2541.367 |  1.22177 | -0.24635 | -0.09350
 2542.178 |  1.22114 | -0.25590 | -0.09350
 2542.990 |  1.22171 | -0.24307 | -0.09350
 2543.801 |  1.22139 | -0.18547 | -0.09350
 2544.612 |  1.22098 | -0.21346 | -0.09756
 2545.423 |  1.22105 | -0.16968 | -0.09756
 2546.234 |  1.22067 | -0.23651 | -0.09350
 2547.045 |  1.22086 | -0.19603 | -0.09756
 2547.856 |  1.22054 | -0.21348 | -0.09756
 2548.667 |  1.22124 | -0.16838 | -0.09350
 2549.479 |  1.22070 | -0.14106 | -0.09350
 2550.290 |  1.22106 | -0.15259 | -0.09756
 2551.101 |  1.22134 | -0.11012 | -0.09350
 2551.912 |  1.22080 | -0.16707 | -0.09350
 2552.723 |  1.22138 | -0.10749 | -0.09350
 2553.534 |  1.22010 | -0.12823 | -0.09350
 2554.345 |  1.22123 | -0.08378 | -0.09350
 2555.156 |  1.22187 | -0.00708 | -0.09350
 2555.968 |  1.22152 | -0.06271 | -0.09350
 2556.779 |  1.22041 | -0.00510 | -0.09350
 2557.590 |  1.21875 |  0.01169 | -0.09350
 2558.401 |  1.22074 |  0.04165 | -0.09756
 2559.212 |  1.22002 |  0.09400 | -0.09756
 2560.023 |  1.22009 |  0.09763 | -0.09350
 2560.834 |  1.21944 |  0.19146 | -0.09350
 2561.645 |  1.21943 |  0.15295 | -0.09350
 2562.457 |  1.21938 |  0.23361 | -0.09350
 2563.268 |  1.21908 |  0.24382 | -0.09350
 2564.079 |  1.21926 |  0.27379 | -0.09756
 2564.890 |  1.21847 |  0.31626 | -0.09756
 2565.701 |  1.21885 |  0.32911 | -0.09350
 2566.512 |  1.21872 |  0.36369 | -0.09756
 2567.323 |  1.21836 |  0.38575 | -0.09756
 2568.134 |  1.21883 |  0.38807 | -0.09350
 2568.946 |  1.21864 |  0.41343 | -0.09350
 2569.757 |  1.21812 |  0.38217 | -0.09350
 2570.568 |  1.21866 |  0.39305 | -0.09756
 2571.379 |  1.21925 |  0.41709 | -0.09756
 2572.190 |  1.21886 |  0.38715 | -0.09756
 2573.001 |  1.21866 |  0.39540 | -0.09350
 2573.812 |  1.21899 |  0.34900 | -0.09756
 2574.623 |  1.21781 |  0.35922 | -0.09756
 2575.435 |  1.21833 |  0.38261 | -0.09756
 2576.246 |  1.21765 |  0.33884 | -0.09756
 2577.057 |  1.21837 |  0.39186 | -0.09756
 2577.868 |  1.21805 |  0.36917 | -0.09756
 2578.679 |  1.21904 |  0.33594 | -0.09756
 2579.490 |  1.21900 |  0.29745 | -0.09756
 2580.301 |  1.21861 |  0.29253 | -0.09756
 2581.112 |  1.21825 |  0.28498 | -0.09756
 2581.924 |  1.21829 |  0.26163 | -0.09350
 2582.735 |  1.21900 |  0.26593 | -0.09756
 2583.546 |  1.21873 |  0.24061 | -0.09756
 2584.357 |  1.21978 |  0.25545 | -0.09756
 2585.168 |  1.21902 |  0.26766 | -0.09756
 2585.979 |  1.21959 |  0.22324 | -0.09756
 2586.790 |  1.22013 |  0.25652 | -0.09350
 2587.601 |  1.21989 |  0.20618 | -0.09756
 2588.413 |  1.22204 |  0.24933 | -0.09756
 2589.224 |  1.22114 |  0.21348 | -0.09350
 2590.035 |  1.22257 |  0.19343 | -0.09756
 2590.846 |  1.22278 |  0.17140 | -0.09756
 2591.657 |  1.22339 |  0.15003 | -0.09756
 2592.468 |  1.22479 |  0.14644 | -0.09756
 2593.279 |  1.22515 |  0.12442 | -0.09756
 2594.090 |  1.22663 |  0.15836 | -0.09756
 2594.902 |  1.22701 |  0.11198 | -0.09756
 2595.713 |  1.22813 |  0.13407 | -0.09756
 2596.524 |  1.22847 |  0.10810 | -0.09756
 2597.335 |  1.22895 |  0.06369 | -0.09756
 2598.146 |  1.22984 |  0.10685 | -0.09756
 2598.957 |  1.22971 |  0.05389 | -0.09756
 2599.768 |  1.23017 |  0.07994 | -0.09756
 2600.579 |  1.23023 |  0.03751 | -0.09350
 2601.390 |  1.23000 |  0.01154 | -0.09756
 2602.202 |  1.22948 |  0.05668 | -0.09756
 2603.013 |  1.22909 |  0.00109 | -0.09756
 2603.824 |  1.22892 | -0.00710 | -0.09756
 2604.635 |  1.22909 | -0.00146 | -0.09756
 2605.446 |  1.22843 | -0.00241 | -0.09756
 2606.257 |  1.22885 | -0.02771 | -0.09756
 2607.068 |  1.22748 | -0.04051 | -0.09756
 2607.879 |  1.22772 | -0.02301 | -0.10163
 2608.691 |  1.22729 | -0.09440 | -0.09756
 2609.502 |  1.22644 | -0.00580 | -0.09756
 2610.313 |  1.22745 | -0.06402 | -0.09756
 2611.124 |  1.22686 | -0.06694 | -0.09756
 2611.935 |  1.22726 | -0.07578 | -0.09756
 2612.746 |  1.22670 | -0.06947 | -0.09756
 2613.557 |  1.22643 | -0.10004 | -0.09756
 2614.368 |  1.22643 | -0.13719 | -0.09756
 2615.180 |  1.22613 | -0.11837 | -0.09756
 2615.991 |  1.22586 | -0.13774 | -0.09756
 2616.802 |  1.22520 | -0.10115 | -0.09756
 2617.613 |  1.22619 | -0.14620 | -0.09756
 2618.424 |  1.22535 | -0.14911 | -0.09756
 2619.235 |  1.22537 | -0.18032 | -0.09756
 2620.046 |  1.22586 | -0.17204 | -0.09756
 2620.857 |  1.22454 | -0.18680 | -0.09756
 2621.669 |  1.22500 | -0.19563 | -0.10163
 2622.480 |  1.22457 | -0.10241 | -0.09756
 2623.291 |  1.22459 | -0.21724 | -0.09756
 2624.102 |  1.22394 | -0.25899 | -0.09756
 2624.913 |  1.22379 | -0.29349 | -0.09350
 2625.724 |  1.22380 | -0.27006 | -0.09756
 2626.535 |  1.22373 | -0.34604 | -0.09756
 2627.346 |  1.22441 | -0.30549 | -0.09756
 2628.158 |  1.22369 | -0.26362 | -0.09756
 2628.969 |  1.22440 | -0.31524 | -0.09756
 2629.780 |  1.22334 | -0.28917 | -0.09756
 2630.591 |  1.22345 | -0.33947 | -0.09756
 2631.402 |  1.22310 | -0.30879 | -0.09756
 2632.213 |  1.22283 | -0.31563 | -0.09350
 2633.024 |  1.22314 | -0.32248 | -0.09756
 2633.835 |  1.22278 | -0.29377 | -0.09756
 2634.647 |  1.22289 | -0.32432 | -0.09756
 2635.458 |  1.22259 | -0.27849 | -0.09756
 2636.269 |  1.22313 | -0.30706 | -0.09350
 2637.080 |  1.22290 | -0.30798 | -0.09756
 2637.891 |  1.22292 | -0.34247 | -0.09350
 2638.702 |  1.22225 | -0.34273 | -0.09756
 2639.513 |  1.22244 | -0.29492 | -0.09756
 2640.324 |  1.22265 | -0.35048 | -0.09756
 2641.136 |  1.22133 | -0.25000 | -0.09350
 2641.947 |  1.22180 | -0.26540 | -0.09350
 2642.758 |  1.22164 | -0.26236 | -0.09756
 2643.569 |  1.22186 | -0.20335 | -0.09756
 2644.380 |  1.22222 | -0.21282 | -0.09350
