alpha_deg	beta_deg	gamma_deg	sse
5.00	15.00	15.00	0.0765193
5.00	15.00	65.00	0.0722809
5.00	15.00	75.00	0.0765193
5.00	15.00	85.00	0.0848187
5.00	15.00	105.00	0.0765193
5.00	15.00	155.00	0.0722809
5.00	15.00	165.00	0.0765193
5.00	15.00	175.00	0.0848187
5.00	15.00	195.00	0.0765193
5.00	15.00	245.00	0.0722809
5.00	15.00	255.00	0.0765193
5.00	15.00	265.00	0.0848187
5.00	15.00	285.00	0.0765193
5.00	15.00	335.00	0.0722809
5.00	15.00	345.00	0.0765193
5.00	15.00	355.00	0.0848187
5.00	25.00	5.00	0.0596056
5.00	25.00	15.00	0.0461723
5.00	25.00	65.00	0.0389977
5.00	25.00	75.00	0.0461723
5.00	25.00	85.00	0.0596056
5.00	25.00	95.00	0.0596056
5.00	25.00	105.00	0.0461723
5.00	25.00	155.00	0.0389977
5.00	25.00	165.00	0.0461723
5.00	25.00	175.00	0.0596056
5.00	25.00	185.00	0.0596056
5.00	25.00	195.00	0.0461723
5.00	25.00	245.00	0.0389977
5.00	25.00	255.00	0.0461723
5.00	25.00	265.00	0.0596056
5.00	25.00	275.00	0.0596056
5.00	25.00	285.00	0.0461723
5.00	25.00	335.00	0.0389977
5.00	25.00	345.00	0.0461723
5.00	25.00	355.00	0.0596056
5.00	35.00	85.00	0.0600399
5.00	35.00	175.00	0.0600399
5.00	35.00	265.00	0.0600399
5.00	35.00	355.00	0.0600399
5.00	55.00	5.00	0.0561385
5.00	55.00	95.00	0.0561385
5.00	55.00	185.00	0.0561385
5.00	55.00	275.00	0.0561385
5.00	65.00	5.00	0.0507837
5.00	65.00	25.00	0.0660167
5.00	65.00	35.00	0.0656505
5.00	65.00	55.00	0.0656505
5.00	65.00	65.00	0.066045
5.00	65.00	85.00	0.0507837
5.00	65.00	95.00	0.0507837
5.00	65.00	115.00	0.0660167
5.00	65.00	125.00	0.0656505
5.00	65.00	145.00	0.0656505
5.00	65.00	155.00	0.066045
5.00	65.00	175.00	0.0507837
5.00	65.00	185.00	0.0507837
5.00	65.00	205.00	0.0660167
5.00	65.00	215.00	0.0656505
5.00	65.00	235.00	0.0656505
5.00	65.00	245.00	0.066045
5.00	65.00	265.00	0.0507837
5.00	65.00	275.00	0.0507837
5.00	65.00	295.00	0.0660167
5.00	65.00	305.00	0.0656505
5.00	65.00	325.00	0.0656505
5.00	65.00	335.00	0.066045
5.00	65.00	355.00	0.0507837
5.00	75.00	5.00	0.0712653
5.00	75.00	85.00	0.0712653
5.00	75.00	95.00	0.0712653
5.00	75.00	175.00	0.0712653
5.00	75.00	185.00	0.0712653
5.00	75.00	265.00	0.0712653
5.00	75.00	275.00	0.0712653
5.00	75.00	355.00	0.0712653
5.00	85.00	15.00	0.0708347
5.00	85.00	25.00	0.0492447
5.00	85.00	35.00	0.0531863
5.00	85.00	55.00	0.0531863
5.00	85.00	65.00	0.0492447
5.00	85.00	75.00	0.0708347
5.00	85.00	105.00	0.0708347
5.00	85.00	115.00	0.0492447
5.00	85.00	125.00	0.0531863
5.00	85.00	145.00	0.0531863
5.00	85.00	155.00	0.0492447
5.00	85.00	165.00	0.0708347
5.00	85.00	195.00	0.0708347
5.00	85.00	205.00	0.0492447
5.00	85.00	215.00	0.0531863
5.00	85.00	235.00	0.0531863
5.00	85.00	245.00	0.0492447
5.00	85.00	255.00	0.0708347
5.00	85.00	285.00	0.0708347
5.00	85.00	295.00	0.0492447
5.00	85.00	305.00	0.0531863
5.00	85.00	325.00	0.0531863
5.00	85.00	335.00	0.0492447
5.00	85.00	345.00	0.0708347
5.00	95.00	15.00	0.0708347
5.00	95.00	25.00	0.0492447
5.00	95.00	35.00	0.0531863
5.00	95.00	55.00	0.0531863
5.00	95.00	65.00	0.0492447
5.00	95.00	75.00	0.0708347
5.00	95.00	105.00	0.0708347
5.00	95.00	115.00	0.0492447
