  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.10388 | -0.13011 | -0.02439
 2500.250 |  1.10318 | -0.10215 | -0.02439
 2500.500 |  1.10318 | -0.12025 | -0.02439
 2500.750 |  1.10302 | -0.12847 | -0.02439
 2501.000 |  1.10184 | -0.11889 | -0.02439
 2501.250 |  1.10224 | -0.12707 | -0.02439
 2501.500 |  1.10180 | -0.10231 | -0.02439
 2501.750 |  1.10222 | -0.11967 | -0.02846
 2502.000 |  1.10189 | -0.10541 | -0.02439
 2502.250 |  1.10190 | -0.08586 | -0.02033
 2502.500 |  1.10235 | -0.10383 | -0.02846
 2502.750 |  1.10136 | -0.06647 | -0.02846
 2503.000 |  1.10231 | -0.04753 | -0.02439
 2503.250 |  1.10201 | -0.02067 | -0.02439
 2503.500 |  1.10218 | -0.01421 | -0.02439
 2503.750 |  1.10153 |  0.00676 | -0.02439
 2504.000 |  1.10136 |  0.03104 | -0.02439
 2504.250 |  1.10177 |  0.01978 | -0.02846
 2504.500 |  1.10158 |  0.04343 | -0.02846
 2504.750 |  1.10211 |  0.06776 | -0.02439
 2505.000 |  1.10173 |  0.06709 | -0.02439
 2505.250 |  1.10170 |  0.08355 | -0.02846
 2505.500 |  1.10208 |  0.11847 | -0.02439
 2505.750 |  1.10217 |  0.11258 | -0.02439
 2506.000 |  1.10291 |  0.12053 | -0.02439
 2506.250 |  1.10379 |  0.10283 | -0.02439
 2506.500 |  1.10307 |  0.08646 | -0.02033
 2506.750 |  1.10348 |  0.07405 | -0.02033
 2507.000 |  1.10374 |  0.03730 | -0.02846
 2507.250 |  1.10333 |  0.05851 | -0.02439
 2507.500 |  1.10345 |  0.04155 | -0.02439
 2507.750 |  1.10332 |  0.06411 | -0.02439
 2508.000 |  1.10351 |  0.02019 | -0.02439
 2508.250 |  1.10399 |  0.03554 | -0.02439
 2508.500 |  1.10407 |  0.01272 | -0.02439
 2508.750 |  1.10345 | -0.01403 | -0.02439
 2509.000 |  1.10365 | -0.00127 | -0.02439
 2509.250 |  1.10359 | -0.05432 | -0.02439
