  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.18380 |  0.39840 | -0.10569
 2500.250 |  1.18379 |  0.38307 | -0.11789
 2500.500 |  1.18399 |  0.39015 | -0.11382
 2500.750 |  1.18412 |  0.40382 | -0.10163
 2501.000 |  1.18337 |  0.39380 | -0.10569
 2501.250 |  1.18389 |  0.38050 | -0.11382
 2501.500 |  1.18372 |  0.37182 | -0.10976
 2501.750 |  1.18415 |  0.36382 | -0.10163
 2502.000 |  1.18464 |  0.36965 | -0.10163
 2502.250 |  1.18403 |  0.36891 | -0.11382
 2502.500 |  1.18495 |  0.33592 | -0.10569
 2502.750 |  1.18462 |  0.31348 | -0.10569
 2503.000 |  1.18473 |  0.29369 | -0.11789
 2503.250 |  1.18574 |  0.31933 | -0.10163
 2503.500 |  1.18502 |  0.32722 | -0.10569
 2503.750 |  1.18572 |  0.29890 | -0.12195
 2504.000 |  1.18557 |  0.27981 | -0.12195
 2504.250 |  1.18616 |  0.30090 | -0.11382
 2504.500 |  1.18698 |  0.25682 | -0.11789
 2504.750 |  1.18681 |  0.27662 | -0.10976
 2505.000 |  1.18799 |  0.27272 | -0.10569
 2505.250 |  1.18714 |  0.25896 | -0.10163
 2505.500 |  1.18799 |  0.25707 | -0.10976
 2505.750 |  1.18782 |  0.22819 | -0.11382
 2506.000 |  1.18800 |  0.24937 | -0.10569
 2506.250 |  1.18940 |  0.20867 | -0.10976
 2506.500 |  1.18918 |  0.21670 | -0.11382
 2506.750 |  1.19242 |  0.19248 | -0.11789
 2507.000 |  1.19248 |  0.16630 | -0.11789
 2507.250 |  1.19261 |  0.17766 | -0.11789
 2507.500 |  1.19323 |  0.16335 | -0.11789
 2507.750 |  1.19287 |  0.19185 | -0.11382
 2508.000 |  1.19332 |  0.19140 | -0.11789
 2508.250 |  1.19337 |  0.18240 | -0.10976
 2508.500 |  1.19378 |  0.18131 | -0.10976
 2508.750 |  1.19361 |  0.14863 | -0.10569
 2509.000 |  1.19371 |  0.13374 | -0.11789
 2509.250 |  1.19309 | -0.04047 | -0.11382
 2509.500 |  1.19338 | -0.02505 | -0.10569
 2509.750 |  1.19383 | -0.04517 | -0.10569
 2510.000 |  1.19340 | -0.10676 | -0.11789
 2510.250 |  1.19357 | -0.09855 | -0.11382
 2510.500 |  1.19352 | -0.09691 | -0.10569
