alpha_deg	beta_deg	gamma_deg	sse	sum_diff
172.00	14.00	17.00	0.079897743	-0.18555867
172.00	14.00	18.00	0.079745484	-0.18487441
172.00	14.00	19.00	0.079044159	-0.18419015
172.00	14.00	20.00	0.078525203	-0.18282162
172.00	14.00	21.00	0.078088889	-0.18350588
172.00	14.00	22.00	0.077750948	-0.18282162
172.00	14.00	23.00	0.077669069	-0.1814531
172.00	14.00	24.00	0.077279724	-0.1814531
172.00	14.00	25.00	0.07701936	-0.1814531
172.00	14.00	26.00	0.076816439	-0.17940031
172.00	14.00	27.00	0.076487962	-0.17940031
172.00	14.00	28.00	0.07647823	-0.17803179
172.00	14.00	30.00	0.076044058	-0.17666326
172.00	14.00	120.00	0.076044058	-0.17666326
172.00	15.00	16.00	0.075976197	-0.19171703
172.00	15.00	17.00	0.075188338	-0.18966424
172.00	15.00	18.00	0.074766907	-0.18966424
172.00	15.00	19.00	0.074553034	-0.18829572
172.00	15.00	20.00	0.073766998	-0.18761146
172.00	15.00	21.00	0.073397219	-0.18692719
172.00	15.00	22.00	0.073072241	-0.18692719
172.00	15.00	23.00	0.07275022	-0.18624293
172.00	15.00	24.00	0.07255892	-0.18555867
172.00	15.00	25.00	0.072280911	-0.18487441
172.00	15.00	26.00	0.071905081	-0.18419015
172.00	15.00	27.00	0.071865383	-0.18282162
172.00	15.00	28.00	0.071492553	-0.1814531
172.00	15.00	29.00	0.071211833	-0.1814531
172.00	15.00	119.00	0.071211833	-0.1814531
172.00	16.00	17.00	0.070961385	-0.19445408
172.00	16.00	18.00	0.070344092	-0.19376981
172.00	16.00	19.00	0.069920936	-0.19308555
172.00	16.00	20.00	0.069423371	-0.19240129
172.00	16.00	21.00	0.069074355	-0.19103277
172.00	16.00	22.00	0.068538586	-0.18966424
172.00	16.00	23.00	0.068210946	-0.18897998
172.00	16.00	24.00	0.067855165	-0.18966424
172.00	16.00	25.00	0.06757341	-0.18897998
172.00	16.00	26.00	0.067472887	-0.18761146
172.00	16.00	27.00	0.067279009	-0.18761146
172.00	16.00	28.00	0.067073105	-0.18692719
172.00	16.00	29.00	0.066914238	-0.18487441
172.00	16.00	30.00	0.066757029	-0.18419015
172.00	16.00	32.00	0.066681911	-0.1814531
172.00	16.00	122.00	0.066681911	-0.1814531
172.00	17.00	18.00	0.066338788	-0.19787539
172.00	17.00	19.00	0.065720706	-0.19650686
172.00	17.00	20.00	0.065152951	-0.1958226
172.00	17.00	21.00	0.064925646	-0.19650686
172.00	17.00	22.00	0.06438997	-0.19513834
172.00	17.00	23.00	0.063914921	-0.19445408
172.00	17.00	24.00	0.063607883	-0.19376981
172.00	17.00	25.00	0.063371145	-0.19240129
172.00	17.00	26.00	0.063197917	-0.19103277
172.00	17.00	27.00	0.062936806	-0.1903485
172.00	17.00	28.00	0.062733712	-0.18966424
172.00	17.00	29.00	0.06256829	-0.18761146
172.00	17.00	31.00	0.062503314	-0.18624293
172.00	17.00	32.00	0.062199927	-0.18419015
172.00	17.00	122.00	0.062199927	-0.18419015
172.00	18.00	19.00	0.062030922	-0.19992817
172.00	18.00	20.00	0.061312037	-0.19992817
172.00	18.00	21.00	0.060889712	-0.19992817
172.00	18.00	22.00	0.060360591	-0.19855965
172.00	18.00	23.00	0.06005924	-0.19719112
172.00	18.00	24.00	0.059691376	-0.19650686
172.00	18.00	25.00	0.059459105	-0.19650686
172.00	18.00	26.00	0.059107713	-0.19445408
172.00	18.00	27.00	0.058895149	-0.19445408
172.00	18.00	28.00	0.058528873	-0.19308555
172.00	18.00	30.00	0.058352609	-0.19103277
172.00	18.00	31.00	0.05831146	-0.18966424
172.00	18.00	32.00	0.058233127	-0.18761146
172.00	18.00	122.00	0.058233127	-0.18761146
172.00	19.00	20.00	0.057838814	-0.20334948
172.00	19.00	21.00	0.057249656	-0.20266522
172.00	19.00	22.00	0.056813838	-0.2012967
172.00	19.00	23.00	0.056374467	-0.20061243
172.00	19.00	24.00	0.055993493	-0.19992817
172.00	19.00	25.00	0.055708824	-0.19992817
172.00	19.00	26.00	0.055353687	-0.19787539
172.00	19.00	27.00	0.055143932	-0.19787539
172.00	19.00	28.00	0.054777656	-0.19650686
172.00	19.00	30.00	0.054719178	-0.19445408
