alpha_deg	beta_deg	gamma_deg	sse
91.00	11.00	160.00	0.00206337
91.00	11.00	161.00	0.00206337
91.00	11.00	164.00	0.00205567
91.00	11.00	165.00	0.00205567
91.00	11.00	166.00	0.00202167
91.00	11.00	167.00	0.00202167
91.00	11.00	168.00	0.00202167
91.00	11.00	169.00	0.00202167
91.00	11.00	170.00	0.00202167
91.00	11.00	171.00	0.00202167
91.00	11.00	172.00	0.00202167
91.00	11.00	173.00	0.00202167
91.00	11.00	174.00	0.00201922
91.00	11.00	175.00	0.00201922
91.00	11.00	176.00	0.00201922
91.00	11.00	177.00	0.00201922
91.00	11.00	178.00	0.00201922
91.00	11.00	179.00	0.00201922
91.00	11.00	180.00	0.00201922
91.00	74.00	11.00	0.00193092
91.00	74.00	80.00	0.00190995
91.00	74.00	101.00	0.00193092
91.00	74.00	170.00	0.00190995
91.00	75.00	11.00	0.00200843
91.00	75.00	79.00	0.0019709
91.00	75.00	101.00	0.00200843
91.00	75.00	169.00	0.0019709
91.00	76.00	12.00	0.00200843
91.00	76.00	13.00	0.00197416
91.00	76.00	78.00	0.00199036
91.00	76.00	102.00	0.00200843
91.00	76.00	103.00	0.00197416
91.00	76.00	168.00	0.00199036
91.00	77.00	13.00	0.00202696
91.00	77.00	14.00	0.00200889
91.00	77.00	77.00	0.00200889
91.00	77.00	84.00	0.00540728
91.00	77.00	103.00	0.00202696
91.00	77.00	104.00	0.00200889
91.00	77.00	167.00	0.00200889
91.00	77.00	174.00	0.00540728
91.00	78.00	15.00	0.00204736
91.00	78.00	16.00	0.00203116
91.00	78.00	75.00	0.00204736
91.00	78.00	76.00	0.00206543
91.00	78.00	105.00	0.00204736
91.00	78.00	106.00	0.00203116
91.00	78.00	165.00	0.00204736
91.00	78.00	166.00	0.00206543
91.00	79.00	0.00	0.00201922
91.00	79.00	1.00	0.00202167
91.00	79.00	2.00	0.00209111
91.00	79.00	17.00	0.00209852
91.00	79.00	18.00	0.00213225
91.00	79.00	19.00	0.00215639
91.00	79.00	72.00	0.00213225
91.00	79.00	73.00	0.0021081
91.00	79.00	88.00	0.00205567
91.00	79.00	89.00	0.00201922
91.00	79.00	90.00	0.00201922
91.00	79.00	91.00	0.00202167
91.00	79.00	92.00	0.00209111
91.00	79.00	107.00	0.00209852
91.00	79.00	108.00	0.00213225
91.00	79.00	109.00	0.00215639
91.00	79.00	162.00	0.00213225
91.00	79.00	163.00	0.0021081
91.00	79.00	178.00	0.00205567
91.00	79.00	179.00	0.00201922
91.00	79.00	180.00	0.00201922
91.00	80.00	23.00	0.00129584
91.00	80.00	68.00	0.00128616
91.00	80.00	113.00	0.00129584
91.00	80.00	158.00	0.00128616
91.00	82.00	71.00	0.00137354
91.00	82.00	161.00	0.00137354
91.00	83.00	18.00	0.00148841
91.00	83.00	108.00	0.00148841
91.00	85.00	75.00	0.00166718
91.00	85.00	165.00	0.00166718
91.00	87.00	14.00	0.00169727
91.00	87.00	76.00	0.00166494
91.00	87.00	104.00	0.00169727
91.00	87.00	166.00	0.00166494
91.00	90.00	13.00	0.00176195
91.00	90.00	77.00	0.00176195
91.00	90.00	103.00	0.00176195
91.00	90.00	167.00	0.00176195
91.00	93.00	14.00	0.00166494
91.00	93.00	76.00	0.00169727
91.00	93.00	104.00	0.00166494
91.00	93.00	166.00	0.00169727
91.00	95.00	15.00	0.00166718
91.00	95.00	105.00	0.00166718
91.00	97.00	72.00	0.00148841
91.00	97.00	162.00	0.00148841
91.00	98.00	19.00	0.00137354
91.00	98.00	109.00	0.00137354
91.00	100.00	22.00	0.00128616
91.00	100.00	67.00	0.00129584
91.00	100.00	112.00	0.00128616
91.00	100.00	157.00	0.00129584
91.00	101.00	0.00	0.00201922
91.00	101.00	1.00	0.00201922
91.00	101.00	2.00	0.00205567
91.00	101.00	17.00	0.0021081
91.00	101.00	18.00	0.00213225
91.00	101.00	71.00	0.00215639
91.00	101.00	72.00	0.00213225
91.00	101.00	73.00	0.00209852
91.00	101.00	88.00	0.00209111
91.00	101.00	89.00	0.00202167
91.00	101.00	90.00	0.00201922
91.00	101.00	91.00	0.00201922
91.00	101.00	92.00	0.00205567
91.00	101.00	107.00	0.0021081
91.00	101.00	108.00	0.00213225
91.00	101.00	161.00	0.00215639
91.00	101.00	162.00	0.00213225
91.00	101.00	163.00	0.00209852
91.00	101.00	178.00	0.00209111
91.00	101.00	179.00	0.00202167
91.00	101.00	180.00	0.00201922
91.00	102.00	14.00	0.00206543
91.00	102.00	15.00	0.00204736
91.00	102.00	74.00	0.00203116
91.00	102.00	75.00	0.00204736
91.00	102.00	104.00	0.00206543
91.00	102.00	105.00	0.00204736
91.00	102.00	164.00	0.00203116
91.00	102.00	165.00	0.00204736
91.00	103.00	6.00	0.00540728
91.00	103.00	13.00	0.00200889
91.00	103.00	76.00	0.00200889
91.00	103.00	77.00	0.00202696
